Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,1,1986
Cleared,0,1986
Reported,1,1987
Cleared,0,1987
Reported,1,1988
Cleared,0,1988
Reported,21,1989
Cleared,0,1989
Reported,13,1990
Cleared,0,1990
Reported,8,1991
Cleared,3,1991
Reported,8,1992
Cleared,2,1992
Reported,9,1993
Cleared,5,1993
Reported,23,1994
Cleared,3,1994
Reported,65,1995
Cleared,29,1995
Reported,88,1996
Cleared,51,1996
Reported,15,1997
Cleared,14,1997
Reported,7,1998
Cleared,7,1998
Reported,13,1999
Cleared,12,1999
Reported,13,2000
Cleared,13,2000
Reported,4,2004
Cleared,3,2004
Reported,4,2009
Cleared,3,2009
Reported,11,2010
Cleared,14,2010
Reported,15,2011
Cleared,0,2011
Reported,18,2012
Cleared,17,2012
Reported,46,2013
Cleared,39,2013
Reported,49,2014
Cleared,42,2014
Reported,22,2015
Cleared,19,2015
Reported,21,2016
Cleared,8,2016
Reported,14,2017
Cleared,11,2017
Reported,14,2018
Cleared,14,2018
