year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,GA1440000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1986,GA1440000,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0
1987,GA1440000,1,0,0,0,0,0,1,0,39,1,0,0,20,0,14,1,5,0
1988,GA1440000,1,0,0,0,0,0,1,0,77,0,0,0,36,0,36,0,5,0
1989,GA1440000,21,0,1,0,0,0,19,0,189,0,0,0,98,0,85,0,6,0
1990,GA1440000,13,0,1,0,1,0,11,0,155,1,0,0,73,0,70,1,12,0
1991,GA1440000,8,3,1,1,1,0,1,0,173,7,2,0,95,0,62,2,16,5
1992,GA1440000,8,2,0,0,0,0,6,2,157,23,1,0,82,1,71,21,4,1
1993,GA1440000,9,5,0,0,1,0,7,5,161,29,1,0,73,5,80,21,8,3
1994,GA1440000,23,3,0,0,1,1,22,2,235,24,1,0,82,1,124,20,29,3
1995,GA1440000,65,29,0,0,2,1,58,25,249,38,0,0,90,5,143,30,16,3
1996,GA1440000,88,51,0,0,0,0,86,50,336,71,1,0,119,19,192,40,25,12
1997,GA1440000,15,14,0,0,0,0,15,14,283,33,0,0,120,7,150,18,13,8
1998,GA1440000,7,7,0,0,0,0,7,7,240,23,0,0,67,5,142,11,31,7
1999,GA1440000,13,12,0,0,0,0,13,12,263,47,0,0,82,13,156,28,25,6
2000,GA1440000,13,13,0,0,0,0,13,13,196,32,0,0,55,15,127,13,14,4
2004,GA1440000,4,3,0,0,1,0,2,2,102,5,1,0,50,2,35,1,17,2
2009,GA1440000,4,3,0,0,0,0,4,3,53,11,1,0,17,0,36,10,0,1
2010,GA1440000,11,14,0,0,0,6,9,8,127,13,1,1,48,5,67,7,12,1
2011,GA1440000,15,0,1,0,1,0,13,0,138,0,0,0,56,0,70,0,12,0
2012,GA1440000,18,17,0,0,1,0,17,17,275,28,5,1,93,0,169,28,13,0
2013,GA1440000,46,39,4,4,1,1,38,32,259,38,0,0,74,10,173,25,12,3
2014,GA1440000,49,42,1,1,0,0,46,41,268,69,0,0,91,13,163,53,14,3
2015,GA1440000,22,19,4,4,2,1,13,12,266,72,0,0,76,14,177,54,13,4
2016,GA1440000,21,8,0,0,1,0,16,6,243,58,0,0,60,8,160,46,23,4
2017,GA1440000,14,11,0,0,4,3,7,5,211,87,3,1,69,19,125,58,17,10
2018,GA1440000,14,14,0,0,0,0,11,11,239,96,1,0,49,14,161,70,29,12
