Label,Value,Year
Reported,0,1985
Cleared,0,1985
Reported,0,1986
Cleared,0,1986
Reported,3,1987
Cleared,0,1987
Reported,0,1988
Cleared,0,1988
Reported,4,1989
Cleared,0,1989
Reported,0,1990
Cleared,0,1990
Reported,0,1991
Cleared,0,1991
Reported,0,1992
Cleared,0,1992
Reported,11,1995
Cleared,4,1995
Reported,5,1996
Cleared,1,1996
Reported,0,1999
Cleared,0,1999
Reported,1,2007
Cleared,0,2007
Reported,3,2008
Cleared,2,2008
Reported,5,2009
Cleared,2,2009
Reported,16,2010
Cleared,1,2010
Reported,9,2011
Cleared,4,2011
Reported,14,2012
Cleared,0,2012
Reported,3,2013
Cleared,0,2013
Reported,6,2014
Cleared,0,2014
Reported,16,2015
Cleared,1,2015
Reported,12,2016
Cleared,1,2016
Reported,6,2017
Cleared,3,2017
Reported,1,2018
Cleared,0,2018
