Label,Value,Year
Reported,1,1985
Cleared,0,1985
Reported,1,1986
Cleared,3,1986
Reported,1,1987
Cleared,0,1987
Reported,0,1988
Cleared,0,1988
Reported,0,1989
Cleared,0,1989
Reported,1,1990
Cleared,0,1990
Reported,2,1991
Cleared,1,1991
Reported,1,1992
Cleared,0,1992
Reported,20,1995
Cleared,7,1995
Reported,46,1996
Cleared,1,1996
Reported,0,1999
Cleared,0,1999
Reported,1,2007
Cleared,1,2007
Reported,4,2008
Cleared,2,2008
Reported,3,2009
Cleared,2,2009
Reported,10,2010
Cleared,1,2010
Reported,16,2011
Cleared,1,2011
Reported,9,2012
Cleared,0,2012
Reported,16,2013
Cleared,2,2013
Reported,11,2014
Cleared,4,2014
Reported,9,2015
Cleared,1,2015
Reported,10,2016
Cleared,3,2016
Reported,3,2017
Cleared,0,2017
Reported,7,2018
Cleared,3,2018
