year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,GA1560100,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1986,GA1560100,0,0,0,0,0,0,0,0,1,3,0,0,1,3,0,0
1987,GA1560100,1,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0
1988,GA1560100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1989,GA1560100,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0
1990,GA1560100,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1991,GA1560100,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0
1992,GA1560100,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1995,GA1560100,3,3,0,0,11,4,0,0,20,7,1,1,32,12,0,0
1996,GA1560100,5,3,0,0,5,1,0,0,46,1,1,1,52,3,0,0
1999,GA1560100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,GA1560100,1,1,0,0,1,0,0,0,1,1,0,0,2,1,0,0
2008,GA1560100,3,3,0,0,3,2,0,0,4,2,0,0,7,4,0,0
2009,GA1560100,4,4,0,0,5,2,0,0,3,2,1,0,9,4,0,0
2010,GA1560100,0,0,0,0,16,1,0,0,10,1,2,0,28,2,3,0
2011,GA1560100,3,1,2,2,9,4,0,0,16,1,4,2,29,7,0,2
2012,GA1560100,1,0,0,0,14,0,0,0,9,0,0,0,23,0,0,0
2013,GA1560100,1,0,0,0,3,0,0,0,16,2,3,2,22,4,2,0
2014,GA1560100,3,3,0,0,6,0,0,0,11,4,0,0,17,4,1,0
2015,GA1560100,4,2,1,1,16,1,0,0,9,1,0,0,25,2,0,0
2016,GA1560100,4,2,0,0,12,1,0,0,10,3,3,0,25,4,0,0
2017,GA1560100,4,4,0,0,6,3,0,0,3,0,0,0,9,3,0,0
2018,GA1560100,0,0,0,0,1,0,0,0,7,3,0,0,8,3,0,0
