Label,Value,Year
Reported,552,1985
Cleared,304,1985
Reported,737,1986
Cleared,322,1986
Reported,915,1987
Cleared,417,1987
Reported,1042,1988
Cleared,517,1988
Reported,1211,1990
Cleared,532,1990
Reported,894,1991
Cleared,404,1991
Reported,1012,1992
Cleared,407,1992
Reported,1099,1993
Cleared,422,1993
Reported,1169,1994
Cleared,548,1994
Reported,1256,1995
Cleared,521,1995
Reported,1078,1996
Cleared,441,1996
Reported,1131,1997
Cleared,546,1997
Reported,1031,1998
Cleared,472,1998
Reported,1019,1999
Cleared,456,1999
Reported,1058,2000
Cleared,483,2000
Reported,1141,2001
Cleared,468,2001
Reported,1207,2002
Cleared,59,2002
Reported,1336,2003
Cleared,0,2003
Reported,1441,2004
Cleared,0,2004
Reported,1480,2005
Cleared,0,2005
Reported,1543,2006
Cleared,0,2006
Reported,1425,2007
Cleared,0,2007
Reported,1426,2008
Cleared,0,2008
Reported,1411,2009
Cleared,0,2009
Reported,1420,2010
Cleared,0,2010
Reported,1332,2011
Cleared,304,2011
Reported,1246,2012
Cleared,656,2012
Reported,642,2013
Cleared,336,2013
Reported,373,2014
Cleared,186,2014
Reported,1208,2015
Cleared,519,2015
Reported,1159,2016
Cleared,502,2016
Reported,1215,2017
Cleared,406,2017
Reported,1292,2018
Cleared,429,2018
