Label,Value,Year
Reported,427,1985
Cleared,25,1985
Reported,387,1986
Cleared,47,1986
Reported,422,1987
Cleared,46,1987
Reported,329,1988
Cleared,32,1988
Reported,314,1990
Cleared,10,1990
Reported,262,1991
Cleared,28,1991
Reported,268,1992
Cleared,23,1992
Reported,276,1993
Cleared,23,1993
Reported,331,1994
Cleared,31,1994
Reported,299,1995
Cleared,33,1995
Reported,293,1996
Cleared,29,1996
Reported,302,1997
Cleared,28,1997
Reported,278,1998
Cleared,24,1998
Reported,263,1999
Cleared,10,1999
Reported,324,2000
Cleared,26,2000
Reported,396,2001
Cleared,14,2001
Reported,429,2002
Cleared,8,2002
Reported,389,2003
Cleared,9,2003
Reported,427,2004
Cleared,15,2004
Reported,547,2005
Cleared,14,2005
Reported,588,2006
Cleared,17,2006
Reported,407,2007
Cleared,15,2007
Reported,365,2008
Cleared,14,2008
Reported,413,2009
Cleared,23,2009
Reported,349,2010
Cleared,16,2010
Reported,228,2011
Cleared,25,2011
Reported,210,2012
Cleared,17,2012
Reported,102,2013
Cleared,5,2013
Reported,71,2014
Cleared,2,2014
Reported,231,2015
Cleared,24,2015
Reported,263,2016
Cleared,14,2016
Reported,327,2017
Cleared,9,2017
Reported,258,2018
Cleared,19,2018
