Label,Value,Year
Reported,36,1985
Cleared,19,1985
Reported,46,1986
Cleared,12,1986
Reported,36,1987
Cleared,24,1987
Reported,28,1988
Cleared,13,1988
Reported,34,1990
Cleared,31,1990
Reported,29,1991
Cleared,26,1991
Reported,31,1992
Cleared,21,1992
Reported,31,1993
Cleared,20,1993
Reported,35,1994
Cleared,21,1994
Reported,38,1995
Cleared,27,1995
Reported,27,1996
Cleared,24,1996
Reported,34,1997
Cleared,23,1997
Reported,17,1998
Cleared,18,1998
Reported,37,1999
Cleared,27,1999
Reported,20,2000
Cleared,22,2000
Reported,20,2001
Cleared,20,2001
Reported,18,2002
Cleared,4,2002
Reported,15,2003
Cleared,0,2003
Reported,26,2004
Cleared,0,2004
Reported,15,2005
Cleared,0,2005
Reported,17,2006
Cleared,0,2006
Reported,19,2007
Cleared,0,2007
Reported,18,2008
Cleared,0,2008
Reported,14,2009
Cleared,0,2009
Reported,19,2010
Cleared,0,2010
Reported,14,2011
Cleared,5,2011
Reported,11,2012
Cleared,9,2012
Reported,10,2013
Cleared,5,2013
Reported,7,2014
Cleared,2,2014
Reported,15,2015
Cleared,10,2015
Reported,16,2016
Cleared,16,2016
Reported,32,2017
Cleared,24,2017
Reported,25,2018
Cleared,20,2018
