Label,Value,Year
Reported,28837,1985
Cleared,5229,1985
Reported,30846,1986
Cleared,5436,1986
Reported,34239,1987
Cleared,6764,1987
Reported,34227,1988
Cleared,5339,1988
Reported,35514,1990
Cleared,6330,1990
Reported,36019,1991
Cleared,7399,1991
Reported,38563,1992
Cleared,6310,1992
Reported,40148,1993
Cleared,5669,1993
Reported,42552,1994
Cleared,5719,1994
Reported,46696,1995
Cleared,5478,1995
Reported,41915,1996
Cleared,5778,1996
Reported,36430,1997
Cleared,5997,1997
Reported,32669,1998
Cleared,5801,1998
Reported,30396,1999
Cleared,4645,1999
Reported,32197,2000
Cleared,4106,2000
Reported,33052,2001
Cleared,3593,2001
Reported,37250,2002
Cleared,1112,2002
Reported,32086,2003
Cleared,0,2003
Reported,29512,2004
Cleared,0,2004
Reported,29376,2005
Cleared,0,2005
Reported,26540,2006
Cleared,0,2006
Reported,26483,2007
Cleared,0,2007
Reported,21473,2008
Cleared,0,2008
Reported,23647,2009
Cleared,0,2009
Reported,22007,2010
Cleared,0,2010
Reported,21987,2011
Cleared,1758,2011
Reported,21978,2012
Cleared,3630,2012
Reported,11568,2013
Cleared,1677,2013
Reported,7588,2014
Cleared,1118,2014
Reported,22930,2015
Cleared,3139,2015
Reported,22277,2016
Cleared,2434,2016
Reported,20540,2017
Cleared,1628,2017
Reported,21221,2018
Cleared,1288,2018
