Label,Value,Year
Reported,2421,1985
Cleared,368,1985
Reported,2858,1986
Cleared,351,1986
Reported,3316,1987
Cleared,490,1987
Reported,3245,1988
Cleared,493,1988
Reported,3317,1990
Cleared,476,1990
Reported,3050,1991
Cleared,544,1991
Reported,3507,1992
Cleared,542,1992
Reported,4460,1993
Cleared,535,1993
Reported,5727,1994
Cleared,639,1994
Reported,7440,1995
Cleared,678,1995
Reported,6370,1996
Cleared,558,1996
Reported,5589,1997
Cleared,628,1997
Reported,4750,1998
Cleared,592,1998
Reported,3997,1999
Cleared,457,1999
Reported,5214,2000
Cleared,420,2000
Reported,5597,2001
Cleared,378,2001
Reported,8488,2002
Cleared,53,2002
Reported,8253,2003
Cleared,0,2003
Reported,7369,2004
Cleared,0,2004
Reported,6798,2005
Cleared,0,2005
Reported,6288,2006
Cleared,0,2006
Reported,4937,2007
Cleared,0,2007
Reported,3938,2008
Cleared,0,2008
Reported,3729,2009
Cleared,0,2009
Reported,3901,2010
Cleared,0,2010
Reported,3252,2011
Cleared,54,2011
Reported,2754,2012
Cleared,118,2012
Reported,1782,2013
Cleared,62,2013
Reported,1365,2014
Cleared,48,2014
Reported,3871,2015
Cleared,114,2015
Reported,4191,2016
Cleared,145,2016
Reported,3606,2017
Cleared,41,2017
Reported,4207,2018
Cleared,48,2018
