Label,Value,Year
Reported,965,1985
Cleared,276,1985
Reported,1052,1986
Cleared,240,1986
Reported,985,1987
Cleared,279,1987
Reported,833,1988
Cleared,220,1988
Reported,889,1990
Cleared,190,1990
Reported,860,1991
Cleared,239,1991
Reported,1013,1992
Cleared,252,1992
Reported,1085,1993
Cleared,227,1993
Reported,1058,1994
Cleared,226,1994
Reported,1371,1995
Cleared,317,1995
Reported,1421,1996
Cleared,368,1996
Reported,1214,1997
Cleared,389,1997
Reported,1052,1998
Cleared,295,1998
Reported,907,1999
Cleared,235,1999
Reported,984,2000
Cleared,281,2000
Reported,999,2001
Cleared,252,2001
Reported,1072,2002
Cleared,45,2002
Reported,989,2003
Cleared,0,2003
Reported,818,2004
Cleared,0,2004
Reported,841,2005
Cleared,0,2005
Reported,956,2006
Cleared,0,2006
Reported,943,2007
Cleared,0,2007
Reported,928,2008
Cleared,0,2008
Reported,869,2009
Cleared,0,2009
Reported,891,2010
Cleared,0,2010
Reported,821,2011
Cleared,118,2011
Reported,914,2012
Cleared,270,2012
Reported,362,2013
Cleared,112,2013
Reported,254,2014
Cleared,69,2014
Reported,896,2015
Cleared,216,2015
Reported,827,2016
Cleared,190,2016
Reported,908,2017
Cleared,179,2017
Reported,807,2018
Cleared,155,2018
