Label,Value,Year
Reported,1801,1985
Cleared,732,1985
Reported,2076,1986
Cleared,724,1986
Reported,2258,1987
Cleared,890,1987
Reported,2186,1988
Cleared,869,1988
Reported,2412,1990
Cleared,937,1990
Reported,2058,1991
Cleared,901,1991
Reported,2382,1992
Cleared,897,1992
Reported,2501,1993
Cleared,799,1993
Reported,2528,1994
Cleared,960,1994
Reported,2882,1995
Cleared,1022,1995
Reported,2748,1996
Cleared,982,1996
Reported,2636,1997
Cleared,1128,1997
Reported,2342,1998
Cleared,962,1998
Reported,2198,1999
Cleared,861,1999
Reported,2302,2000
Cleared,930,2000
Reported,2453,2001
Cleared,901,2001
Reported,2601,2002
Cleared,142,2002
Reported,2606,2003
Cleared,0,2003
Reported,2507,2004
Cleared,0,2004
Reported,2570,2005
Cleared,0,2005
Reported,2745,2006
Cleared,0,2006
Reported,2613,2007
Cleared,0,2007
Reported,2575,2008
Cleared,0,2008
Reported,2537,2009
Cleared,0,2009
Reported,2548,2010
Cleared,0,2010
Reported,2370,2011
Cleared,489,2011
Reported,2336,2012
Cleared,1016,2012
Reported,1135,2013
Cleared,514,2013
Reported,714,2014
Cleared,287,2014
Reported,2437,2015
Cleared,862,2015
Reported,2366,2016
Cleared,870,2016
Reported,2440,2017
Cleared,671,2017
Reported,2711,2018
Cleared,683,2018
