year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,HI0020000,1801,732,36,19,965,276,552,304,40247,6391,427,25,8989,794,28837,5229,2421,368
1986,HI0020000,2076,724,46,12,1052,240,737,322,44379,6585,387,47,10675,798,30846,5436,2858,351
1987,HI0020000,2258,890,36,24,985,279,915,417,46691,8141,422,46,9136,887,34239,6764,3316,490
1988,HI0020000,2186,869,28,13,833,220,1042,517,47283,6596,329,32,9811,764,34227,5339,3245,493
1990,HI0020000,2412,937,34,31,889,190,1211,532,48616,7941,314,10,9785,1135,35514,6330,3317,476
1991,HI0020000,2058,901,29,26,860,239,894,404,48974,9637,262,28,9905,1694,36019,7399,3050,544
1992,HI0020000,2382,897,31,21,1013,252,1012,407,51176,7919,268,23,9106,1067,38563,6310,3507,542
1993,HI0020000,2501,799,31,20,1085,227,1099,422,53904,6760,276,23,9296,556,40148,5669,4460,535
1994,HI0020000,2528,960,35,21,1058,226,1169,548,58297,6999,331,31,10018,641,42552,5719,5727,639
1995,HI0020000,2882,1022,38,27,1371,317,1256,521,64263,6710,299,33,10127,554,46696,5478,7440,678
1996,HI0020000,2748,982,27,24,1421,368,1078,441,57311,6989,293,29,9026,653,41915,5778,6370,558
1997,HI0020000,2636,1128,34,23,1214,389,1131,546,50774,7511,302,28,8755,886,36430,5997,5589,628
1998,HI0020000,2342,962,17,18,1052,295,1031,472,45111,7047,278,24,7692,654,32669,5801,4750,592
1999,HI0020000,2198,861,37,27,907,235,1019,456,40480,5643,263,10,6087,541,30396,4645,3997,457
2000,HI0020000,2302,930,20,22,984,281,1058,483,44357,4986,324,26,6946,460,32197,4106,5214,420
2001,HI0020000,2453,901,20,20,999,252,1141,468,45989,4403,396,14,7340,432,33052,3593,5597,378
2002,HI0020000,2601,142,18,4,1072,45,1207,59,54670,1225,429,8,8932,60,37250,1112,8488,53
2003,HI0020000,2606,0,15,0,989,0,1336,0,48306,0,389,9,7967,0,32086,0,8253,0
2004,HI0020000,2507,0,26,0,818,0,1441,0,44121,0,427,15,7240,0,29512,0,7369,0
2005,HI0020000,2570,0,15,0,841,0,1480,0,42383,0,547,14,6209,0,29376,0,6798,0
2006,HI0020000,2745,0,17,0,956,0,1543,0,38310,0,588,17,5482,0,26540,0,6288,0
2007,HI0020000,2613,0,19,0,943,0,1425,0,37197,0,407,15,5777,0,26483,0,4937,0
2008,HI0020000,2575,0,18,0,928,0,1426,0,31781,0,365,14,6370,0,21473,0,3938,0
2009,HI0020000,2537,0,14,0,869,0,1411,0,33375,0,413,23,5999,0,23647,0,3729,0
2010,HI0020000,2548,0,19,0,891,0,1420,0,31668,0,349,16,5760,0,22007,0,3901,0
2011,HI0020000,2370,489,14,5,821,118,1332,304,30612,1946,228,25,5373,134,21987,1758,3252,54
2012,HI0020000,2336,1016,11,9,914,270,1246,656,29445,4067,210,17,4713,319,21978,3630,2754,118
2013,HI0020000,1135,514,10,5,362,112,642,336,15755,1844,102,5,2405,105,11568,1677,1782,62
2014,HI0020000,714,287,7,2,254,69,373,186,10479,1239,71,2,1526,73,7588,1118,1365,48
2015,HI0020000,2437,862,15,10,896,216,1208,519,31085,3511,231,24,4284,258,22930,3139,3871,114
2016,HI0020000,2366,870,16,16,827,190,1159,502,30192,2786,263,14,3724,207,22277,2434,4191,145
2017,HI0020000,2440,671,32,24,908,179,1215,406,27477,1784,327,9,3331,115,20540,1628,3606,41
2018,HI0020000,2711,683,25,20,807,155,1292,429,29034,1448,258,19,3606,112,21221,1288,4207,48
