Series,Year,Rate
1985,Male Officers,1536
1985,Female Officers,103
1985,Male Civilians,112
1985,Female Civilians,232
1986,Male Officers,1498
1986,Female Officers,107
1986,Male Civilians,167
1986,Female Civilians,188
1987,Male Officers,1559
1987,Female Officers,124
1987,Male Civilians,114
1987,Female Civilians,255
1988,Male Officers,1571
1988,Female Officers,135
1988,Male Civilians,121
1988,Female Civilians,257
1989,Male Officers,1626
1989,Female Officers,135
1989,Male Civilians,140
1989,Female Civilians,284
1990,Male Officers,1680
1990,Female Officers,147
1990,Male Civilians,208
1990,Female Civilians,222
1991,Male Officers,1755
1991,Female Officers,132
1991,Male Civilians,135
1991,Female Civilians,290
1992,Male Officers,1785
1992,Female Officers,151
1992,Male Civilians,143
1992,Female Civilians,295
1993,Male Officers,1789
1993,Female Officers,132
1993,Male Civilians,142
1993,Female Civilians,307
1994,Male Officers,1645
1994,Female Officers,145
1994,Male Civilians,190
1994,Female Civilians,296
1995,Male Officers,1600
1995,Female Officers,142
1995,Male Civilians,156
1995,Female Civilians,290
1996,Male Officers,1658
1996,Female Officers,157
1996,Male Civilians,141
1996,Female Civilians,295
1997,Male Officers,1687
1997,Female Officers,174
1997,Male Civilians,171
1997,Female Civilians,318
1998,Male Officers,1670
1998,Female Officers,109
1998,Male Civilians,141
1998,Female Civilians,367
1999,Male Officers,1765
1999,Female Officers,197
1999,Male Civilians,139
1999,Female Civilians,314
2000,Male Officers,1861
2000,Female Officers,198
2000,Male Civilians,156
2000,Female Civilians,325
2001,Male Officers,1722
2001,Female Officers,209
2001,Male Civilians,159
2001,Female Civilians,338
2002,Male Officers,1762
2002,Female Officers,211
2002,Male Civilians,159
2002,Female Civilians,323
2003,Male Officers,1771
2003,Female Officers,205
2003,Male Civilians,154
2003,Female Civilians,324
2004,Male Officers,1687
2004,Female Officers,202
2004,Male Civilians,147
2004,Female Civilians,291
2005,Male Officers,1789
2005,Female Officers,216
2005,Male Civilians,154
2005,Female Civilians,317
2006,Male Officers,1836
2006,Female Officers,217
2006,Male Civilians,164
2006,Female Civilians,315
2007,Male Officers,1831
2007,Female Officers,218
2007,Male Civilians,174
2007,Female Civilians,325
2008,Male Officers,1889
2008,Female Officers,236
2008,Male Civilians,176
2008,Female Civilians,319
2009,Male Officers,1874
2009,Female Officers,231
2009,Male Civilians,180
2009,Female Civilians,325
2010,Male Officers,1841
2010,Female Officers,225
2010,Male Civilians,170
2010,Female Civilians,318
2011,Male Officers,1841
2011,Female Officers,222
2011,Male Civilians,167
2011,Female Civilians,314
2012,Male Officers,1839
2012,Female Officers,218
2012,Male Civilians,171
2012,Female Civilians,303
2013,Male Officers,1750
2013,Female Officers,206
2013,Male Civilians,176
2013,Female Civilians,301
2014,Male Officers,1893
2014,Female Officers,200
2014,Male Civilians,135
2014,Female Civilians,350
2015,Male Officers,1777
2015,Female Officers,218
2015,Male Civilians,217
2015,Female Civilians,327
2016,Male Officers,1808
2016,Female Officers,234
2016,Male Civilians,190
2016,Female Civilians,305
2017,Male Officers,1776
2017,Female Officers,237
2017,Male Civilians,181
2017,Female Civilians,316
2018,Male Officers,1710
2018,Female Officers,232
2018,Male Civilians,187
2018,Female Civilians,305
