Label,Value,Year
Reported,50,1985
Cleared,7,1985
Reported,62,1986
Cleared,13,1986
Reported,87,1987
Cleared,7,1987
Reported,66,1988
Cleared,5,1988
Reported,51,1989
Cleared,4,1989
Reported,34,1990
Cleared,6,1990
Reported,68,1992
Cleared,7,1992
Reported,77,1993
Cleared,11,1993
Reported,86,1994
Cleared,12,1994
Reported,84,1995
Cleared,7,1995
Reported,68,1996
Cleared,5,1996
Reported,80,1997
Cleared,2,1997
Reported,54,1998
Cleared,8,1998
Reported,22,1999
Cleared,2,1999
Reported,58,2000
Cleared,3,2000
Reported,40,2001
Cleared,9,2001
Reported,39,2002
Cleared,4,2002
Reported,60,2003
Cleared,17,2003
Reported,64,2004
Cleared,16,2004
Reported,48,2005
Cleared,8,2005
Reported,65,2006
Cleared,13,2006
Reported,57,2007
Cleared,14,2007
Reported,54,2008
Cleared,9,2008
Reported,61,2009
Cleared,18,2009
Reported,46,2010
Cleared,10,2010
Reported,65,2011
Cleared,10,2011
Reported,57,2012
Cleared,8,2012
Reported,115,2013
Cleared,25,2013
Reported,50,2014
Cleared,15,2014
Reported,62,2015
Cleared,17,2015
Reported,54,2016
Cleared,2,2016
Reported,58,2017
Cleared,5,2017
Reported,22,2018
Cleared,3,2018
