Label,Value,Year
Reported,14,1985
Cleared,6,1985
Reported,15,1986
Cleared,5,1986
Reported,21,1987
Cleared,4,1987
Reported,17,1988
Cleared,7,1988
Reported,15,1989
Cleared,6,1989
Reported,9,1990
Cleared,5,1990
Reported,14,1992
Cleared,7,1992
Reported,10,1993
Cleared,6,1993
Reported,15,1994
Cleared,5,1994
Reported,22,1995
Cleared,9,1995
Reported,23,1996
Cleared,10,1996
Reported,18,1997
Cleared,6,1997
Reported,18,1998
Cleared,11,1998
Reported,2,1999
Cleared,1,1999
Reported,12,2000
Cleared,3,2000
Reported,6,2001
Cleared,1,2001
Reported,20,2002
Cleared,10,2002
Reported,14,2003
Cleared,8,2003
Reported,10,2004
Cleared,3,2004
Reported,10,2005
Cleared,6,2005
Reported,7,2006
Cleared,2,2006
Reported,12,2007
Cleared,2,2007
Reported,9,2008
Cleared,4,2008
Reported,4,2009
Cleared,1,2009
Reported,7,2010
Cleared,6,2010
Reported,13,2011
Cleared,8,2011
Reported,6,2012
Cleared,2,2012
Reported,6,2013
Cleared,3,2013
Reported,6,2014
Cleared,2,2014
Reported,4,2015
Cleared,4,2015
Reported,17,2016
Cleared,6,2016
Reported,8,2017
Cleared,2,2017
Reported,9,2018
Cleared,0,2018
