Label,Value,Year
Reported,279,1985
Cleared,53,1985
Reported,319,1986
Cleared,61,1986
Reported,401,1987
Cleared,50,1987
Reported,394,1988
Cleared,68,1988
Reported,400,1989
Cleared,88,1989
Reported,374,1990
Cleared,97,1990
Reported,427,1992
Cleared,67,1992
Reported,412,1993
Cleared,91,1993
Reported,450,1994
Cleared,82,1994
Reported,463,1995
Cleared,70,1995
Reported,485,1996
Cleared,99,1996
Reported,438,1997
Cleared,66,1997
Reported,331,1998
Cleared,49,1998
Reported,111,1999
Cleared,10,1999
Reported,333,2000
Cleared,37,2000
Reported,252,2001
Cleared,49,2001
Reported,207,2002
Cleared,42,2002
Reported,261,2003
Cleared,78,2003
Reported,272,2004
Cleared,67,2004
Reported,217,2005
Cleared,57,2005
Reported,230,2006
Cleared,44,2006
Reported,219,2007
Cleared,51,2007
Reported,196,2008
Cleared,44,2008
Reported,173,2009
Cleared,53,2009
Reported,152,2010
Cleared,43,2010
Reported,241,2011
Cleared,49,2011
Reported,167,2012
Cleared,43,2012
Reported,260,2013
Cleared,72,2013
Reported,157,2014
Cleared,59,2014
Reported,204,2015
Cleared,62,2015
Reported,175,2016
Cleared,36,2016
Reported,190,2017
Cleared,34,2017
Reported,91,2018
Cleared,17,2018
