year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared
1985,IA0690100,1,0,2,0,50,7,1,0,215,40,14,6,279,53,1,0
1986,IA0690100,10,10,6,2,62,13,0,0,242,43,15,5,319,61,1,1
1987,IA0690100,7,6,11,4,87,7,0,0,293,39,21,4,401,50,0,0
1988,IA0690100,3,3,5,0,66,5,1,1,311,56,17,7,394,68,0,0
1989,IA0690100,7,5,0,0,51,4,0,0,334,78,15,6,400,88,2,0
1990,IA0690100,11,10,2,1,34,6,0,0,331,86,9,5,374,97,1,1
1992,IA0690100,17,13,9,0,68,7,0,0,345,53,14,7,427,67,1,1
1993,IA0690100,19,11,8,0,77,11,0,0,325,74,10,6,412,91,0,0
1994,IA0690100,12,2,8,1,86,12,0,0,349,65,15,5,450,82,0,0
1995,IA0690100,17,7,6,2,84,7,0,0,357,54,22,9,463,70,0,0
1996,IA0690100,16,9,0,0,68,5,0,0,394,84,23,10,485,99,3,2
1997,IA0690100,17,9,3,1,80,2,1,1,340,58,18,6,438,66,1,0
1998,IA0690100,13,7,0,0,54,8,0,0,259,30,18,11,331,49,1,1
1999,IA0690100,12,11,1,1,22,2,0,0,87,7,2,1,111,10,0,0
2000,IA0690100,18,9,0,0,58,3,0,0,263,31,12,3,333,37,0,0
2001,IA0690100,10,6,4,0,40,9,0,0,206,39,6,1,252,49,1,0
2002,IA0690100,10,10,4,4,39,4,0,0,148,28,20,10,207,42,2,2
2003,IA0690100,13,13,2,0,60,17,0,0,187,53,14,8,261,78,0,0
2004,IA0690100,11,10,3,2,64,16,0,0,198,48,10,3,272,67,0,0
2005,IA0690100,8,7,4,1,48,8,0,0,159,43,10,6,217,57,2,1
2006,IA0690100,4,4,3,0,65,13,1,1,158,29,7,2,230,44,0,0
2007,IA0690100,10,8,5,5,57,14,0,0,150,35,12,2,219,51,1,1
2008,IA0690100,9,9,4,0,54,9,0,0,133,31,9,4,196,44,2,2
2009,IA0690100,6,6,2,0,61,18,0,0,108,34,4,1,173,53,0,0
2010,IA0690100,13,12,1,0,46,10,0,0,99,27,7,6,152,43,0,0
2011,IA0690100,6,6,4,2,65,10,0,0,163,31,13,8,241,49,0,0
2012,IA0690100,9,7,1,0,57,8,0,0,104,33,6,2,167,43,0,0
2013,IA0690100,17,16,3,1,115,25,1,1,139,44,6,3,260,72,0,0
2014,IA0690100,14,13,2,1,50,15,1,1,101,42,6,2,157,59,0,0
2015,IA0690100,12,12,0,0,62,17,0,0,138,41,4,4,204,62,1,0
2016,IA0690100,17,15,3,0,54,2,0,0,104,28,17,6,175,36,1,1
2017,IA0690100,29,24,3,0,58,5,0,0,124,27,8,2,190,34,0,0
2018,IA0690100,13,9,1,1,22,3,2,2,60,14,9,0,91,17,0,0
