Series,Year,Rate
1985,Male Officers,5
1985,Female Officers,0
1985,Male Civilians,0
1985,Female Civilians,1
1986,Male Officers,4
1986,Female Officers,0
1986,Male Civilians,0
1986,Female Civilians,1
1987,Male Officers,4
1987,Female Officers,0
1987,Male Civilians,0
1987,Female Civilians,1
1988,Male Officers,4
1988,Female Officers,0
1988,Male Civilians,0
1988,Female Civilians,1
1989,Male Officers,4
1989,Female Officers,0
1989,Male Civilians,0
1989,Female Civilians,1
1990,Male Officers,3
1990,Female Officers,0
1990,Male Civilians,0
1990,Female Civilians,1
1991,Male Officers,5
1991,Female Officers,0
1991,Male Civilians,0
1991,Female Civilians,1
1992,Male Officers,3
1992,Female Officers,0
1992,Male Civilians,0
1992,Female Civilians,3
1993,Male Officers,5
1993,Female Officers,0
1993,Male Civilians,0
1993,Female Civilians,4
1994,Male Officers,5
1994,Female Officers,0
1994,Male Civilians,0
1994,Female Civilians,4
1995,Male Officers,6
1995,Female Officers,0
1995,Male Civilians,0
1995,Female Civilians,4
1996,Male Officers,6
1996,Female Officers,0
1996,Male Civilians,1
1996,Female Civilians,3
1997,Male Officers,7
1997,Female Officers,0
1997,Male Civilians,0
1997,Female Civilians,4
1998,Male Officers,10
1998,Female Officers,0
1998,Male Civilians,0
1998,Female Civilians,5
1999,Male Officers,11
1999,Female Officers,0
1999,Male Civilians,0
1999,Female Civilians,5
2000,Male Officers,9
2000,Female Officers,0
2000,Male Civilians,0
2000,Female Civilians,3
2001,Male Officers,10
2001,Female Officers,1
2001,Male Civilians,0
2001,Female Civilians,0
2002,Male Officers,10
2002,Female Officers,1
2002,Male Civilians,0
2002,Female Civilians,0
2003,Male Officers,10
2003,Female Officers,1
2003,Male Civilians,0
2003,Female Civilians,0
2004,Male Officers,9
2004,Female Officers,1
2004,Male Civilians,0
2004,Female Civilians,1
2005,Male Officers,9
2005,Female Officers,0
2005,Male Civilians,0
2005,Female Civilians,1
2006,Male Officers,10
2006,Female Officers,0
2006,Male Civilians,0
2006,Female Civilians,1
2007,Male Officers,9
2007,Female Officers,0
2007,Male Civilians,0
2007,Female Civilians,1
2008,Male Officers,12
2008,Female Officers,0
2008,Male Civilians,0
2008,Female Civilians,1
2009,Male Officers,12
2009,Female Officers,0
2009,Male Civilians,0
2009,Female Civilians,1
2010,Male Officers,11
2010,Female Officers,0
2010,Male Civilians,0
2010,Female Civilians,1
2011,Male Officers,11
2011,Female Officers,0
2011,Male Civilians,0
2011,Female Civilians,1
2012,Male Officers,10
2012,Female Officers,0
2012,Male Civilians,0
2012,Female Civilians,1
2013,Male Officers,10
2013,Female Officers,0
2013,Male Civilians,0
2013,Female Civilians,5
2014,Male Officers,10
2014,Female Officers,0
2014,Male Civilians,0
2014,Female Civilians,5
2015,Male Officers,10
2015,Female Officers,0
2015,Male Civilians,0
2015,Female Civilians,1
2016,Male Officers,10
2016,Female Officers,0
2016,Male Civilians,0
2016,Female Civilians,1
2017,Male Officers,9
2017,Female Officers,0
2017,Male Civilians,0
2017,Female Civilians,1
2018,Male Officers,10
2018,Female Officers,0
2018,Male Civilians,0
2018,Female Civilians,1
