Label,Value,Year
Reported,15,1985
Cleared,0,1985
Reported,12,1986
Cleared,0,1986
Reported,23,1987
Cleared,0,1987
Reported,13,1988
Cleared,0,1988
Reported,23,1989
Cleared,0,1989
Reported,16,1990
Cleared,0,1990
Reported,20,1991
Cleared,0,1991
Reported,21,1992
Cleared,0,1992
Reported,1,2006
Cleared,0,2006
Reported,5,2007
Cleared,0,2007
Reported,4,2008
Cleared,0,2008
Reported,7,2009
Cleared,0,2009
Reported,10,2010
Cleared,0,2010
Reported,9,2011
Cleared,0,2011
Reported,12,2012
Cleared,0,2012
Reported,15,2013
Cleared,0,2013
Reported,10,2014
Cleared,0,2014
Reported,17,2015
Cleared,0,2015
Reported,17,2016
Cleared,0,2016
Reported,4,2017
Cleared,0,2017
Reported,2,2018
Cleared,0,2018
