Label,Value,Year
Reported,289,1985
Cleared,0,1985
Reported,275,1986
Cleared,5,1986
Reported,344,1987
Cleared,29,1987
Reported,282,1988
Cleared,20,1988
Reported,306,1989
Cleared,23,1989
Reported,318,1990
Cleared,28,1990
Reported,285,1991
Cleared,14,1991
Reported,239,1992
Cleared,11,1992
Reported,90,2006
Cleared,0,2006
Reported,114,2007
Cleared,0,2007
Reported,112,2008
Cleared,0,2008
Reported,114,2009
Cleared,0,2009
Reported,152,2010
Cleared,0,2010
Reported,154,2011
Cleared,0,2011
Reported,169,2012
Cleared,0,2012
Reported,152,2013
Cleared,0,2013
Reported,126,2014
Cleared,0,2014
Reported,127,2015
Cleared,0,2015
Reported,158,2016
Cleared,0,2016
Reported,102,2017
Cleared,0,2017
Reported,111,2018
Cleared,0,2018
