Label,Value,Year
Reported,1,1985
Cleared,0,1985
Reported,2,1986
Cleared,0,1986
Reported,4,1987
Cleared,4,1987
Reported,2,1988
Cleared,0,1988
Reported,4,1989
Cleared,3,1989
Reported,2,1990
Cleared,1,1990
Reported,5,1991
Cleared,2,1991
Reported,1,1992
Cleared,1,1992
Reported,0,2006
Cleared,0,2006
Reported,1,2007
Cleared,0,2007
Reported,0,2008
Cleared,0,2008
Reported,0,2009
Cleared,0,2009
Reported,0,2010
Cleared,0,2010
Reported,0,2011
Cleared,0,2011
Reported,1,2012
Cleared,0,2012
Reported,2,2013
Cleared,0,2013
Reported,5,2014
Cleared,0,2014
Reported,2,2015
Cleared,0,2015
Reported,5,2016
Cleared,0,2016
Reported,1,2017
Cleared,0,2017
Reported,2,2018
Cleared,0,2018
