Label,Value,Year
Reported,328,1985
Cleared,0,1985
Reported,347,1986
Cleared,4,1986
Reported,400,1987
Cleared,57,1987
Reported,309,1988
Cleared,35,1988
Reported,390,1989
Cleared,47,1989
Reported,396,1990
Cleared,34,1990
Reported,391,1991
Cleared,34,1991
Reported,338,1992
Cleared,21,1992
Reported,279,2006
Cleared,0,2006
Reported,309,2007
Cleared,0,2007
Reported,283,2008
Cleared,0,2008
Reported,371,2009
Cleared,0,2009
Reported,300,2010
Cleared,0,2010
Reported,348,2011
Cleared,0,2011
Reported,279,2012
Cleared,0,2012
Reported,230,2013
Cleared,0,2013
Reported,210,2014
Cleared,0,2014
Reported,235,2015
Cleared,0,2015
Reported,185,2016
Cleared,0,2016
Reported,174,2017
Cleared,0,2017
Reported,149,2018
Cleared,0,2018
