Label,Value,Year
Reported,54,1985
Cleared,0,1985
Reported,38,1986
Cleared,1,1986
Reported,51,1987
Cleared,9,1987
Reported,52,1988
Cleared,4,1988
Reported,46,1989
Cleared,1,1989
Reported,61,1990
Cleared,7,1990
Reported,51,1991
Cleared,4,1991
Reported,64,1992
Cleared,5,1992
Reported,11,2006
Cleared,0,2006
Reported,9,2007
Cleared,0,2007
Reported,18,2008
Cleared,0,2008
Reported,21,2009
Cleared,0,2009
Reported,20,2010
Cleared,0,2010
Reported,20,2011
Cleared,0,2011
Reported,27,2012
Cleared,0,2012
Reported,26,2013
Cleared,0,2013
Reported,25,2014
Cleared,0,2014
Reported,21,2015
Cleared,0,2015
Reported,23,2016
Cleared,0,2016
Reported,26,2017
Cleared,0,2017
Reported,35,2018
Cleared,0,2018
