Label,Value,Year
Reported,9,1985
Cleared,0,1985
Reported,4,1986
Cleared,1,1986
Reported,6,1987
Cleared,3,1987
Reported,7,1988
Cleared,1,1988
Reported,6,1989
Cleared,1,1989
Reported,17,1990
Cleared,5,1990
Reported,18,1991
Cleared,4,1991
Reported,14,1992
Cleared,1,1992
Reported,4,2006
Cleared,0,2006
Reported,3,2007
Cleared,0,2007
Reported,5,2008
Cleared,0,2008
Reported,6,2009
Cleared,0,2009
Reported,3,2010
Cleared,0,2010
Reported,8,2011
Cleared,0,2011
Reported,4,2012
Cleared,0,2012
Reported,4,2013
Cleared,0,2013
Reported,7,2014
Cleared,0,2014
Reported,6,2015
Cleared,0,2015
Reported,6,2016
Cleared,0,2016
Reported,5,2017
Cleared,0,2017
Reported,2,2018
Cleared,0,2018
