year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1985,IL0460000,90,0,15,0,289,0,1,0,328,0,54,0,671,0,9,0,105,0
1986,IL0460000,76,20,12,0,275,5,2,0,347,4,38,1,660,10,4,1,82,21
1987,IL0460000,75,58,23,0,344,29,4,4,400,57,51,9,795,95,6,3,85,65
1988,IL0460000,98,68,13,0,282,20,2,0,309,35,52,4,643,59,7,1,107,69
1989,IL0460000,126,83,23,0,306,23,4,3,390,47,46,1,742,71,6,1,136,87
1990,IL0460000,118,89,16,0,318,28,2,1,396,34,61,7,775,69,17,5,137,95
1991,IL0460000,74,31,20,0,285,14,5,2,391,34,51,4,727,52,18,4,97,37
1992,IL0460000,100,52,21,0,239,11,1,1,338,21,64,5,641,37,14,1,115,54
2006,IL0460000,18,0,1,0,90,0,0,0,279,0,11,0,380,0,4,0,22,0
2007,IL0460000,21,0,5,0,114,0,1,0,309,0,9,0,432,0,3,0,25,0
2008,IL0460000,32,0,4,0,112,0,0,0,283,0,18,0,413,0,5,0,37,0
2009,IL0460000,49,0,7,0,114,0,0,0,371,0,21,0,506,0,6,0,55,0
2010,IL0460000,23,0,10,0,152,0,0,0,300,0,20,0,472,0,3,0,33,0
2011,IL0460000,38,0,9,0,154,0,0,0,348,0,20,0,522,0,8,0,56,0
2012,IL0460000,34,0,12,0,169,0,1,0,279,0,27,0,475,0,4,0,47,0
2013,IL0460000,44,0,15,0,152,0,2,0,230,0,26,0,408,0,4,0,64,0
2014,IL0460000,28,0,10,0,126,0,5,0,210,0,25,0,361,0,7,0,49,0
2015,IL0460000,28,0,17,0,127,0,2,0,235,0,21,0,383,0,6,0,46,0
2016,IL0460000,33,0,17,0,158,0,5,0,185,0,23,0,366,0,6,0,45,0
2017,IL0460000,33,0,4,0,102,0,1,0,174,0,26,0,302,0,5,0,49,0
2018,IL0460000,31,0,2,0,111,0,2,0,149,0,35,0,295,0,2,0,47,0
