Label,Value,Year
Reported,2026,1985
Cleared,0,1985
Reported,2625,1986
Cleared,0,1986
Reported,2804,1987
Cleared,0,1987
Reported,2891,1988
Cleared,0,1988
Reported,2558,1989
Cleared,0,1989
Reported,2656,1990
Cleared,0,1990
Reported,2069,1991
Cleared,0,1991
Reported,1852,1992
Cleared,0,1992
Reported,1676,1993
Cleared,0,1993
Reported,1626,1994
Cleared,0,1994
Reported,1241,1995
Cleared,0,1995
Reported,1560,1996
Cleared,0,1996
Reported,1544,1997
Cleared,0,1997
Reported,1289,1998
Cleared,0,1998
Reported,1267,1999
Cleared,0,1999
Reported,1062,2000
Cleared,0,2000
Reported,1004,2001
Cleared,0,2001
Reported,1022,2002
Cleared,0,2002
Reported,947,2003
Cleared,0,2003
Reported,782,2004
Cleared,0,2004
Reported,682,2005
Cleared,0,2005
Reported,712,2006
Cleared,0,2006
Reported,700,2007
Cleared,0,2007
Reported,637,2008
Cleared,0,2008
Reported,610,2009
Cleared,0,2009
Reported,0,2010
Cleared,0,2010
Reported,0,2011
Cleared,0,2011
Reported,0,2012
Cleared,0,2012
Reported,431,2013
Cleared,0,2013
Reported,461,2014
Cleared,0,2014
Reported,536,2015
Cleared,0,2015
Reported,587,2016
Cleared,0,2016
Reported,514,2017
Cleared,0,2017
Reported,0,2018
Cleared,0,2018
