Label,Value,Year
Reported,52658,1985
Cleared,0,1985
Reported,56274,1986
Cleared,6025,1986
Reported,50931,1987
Cleared,882,1987
Reported,52060,1988
Cleared,0,1988
Reported,51580,1989
Cleared,0,1989
Reported,50203,1990
Cleared,4789,1990
Reported,52234,1991
Cleared,0,1991
Reported,49046,1992
Cleared,5044,1992
Reported,45670,1993
Cleared,4233,1993
Reported,43821,1994
Cleared,3891,1994
Reported,40239,1995
Cleared,0,1995
Reported,40475,1996
Cleared,0,1996
Reported,40632,1997
Cleared,0,1997
Reported,36009,1998
Cleared,0,1998
Reported,30122,1999
Cleared,0,1999
Reported,28327,2000
Cleared,0,2000
Reported,25966,2001
Cleared,0,2001
Reported,25552,2002
Cleared,0,2002
Reported,25064,2003
Cleared,0,2003
Reported,24428,2004
Cleared,0,2004
Reported,25314,2005
Cleared,0,2005
Reported,24153,2006
Cleared,0,2006
Reported,24752,2007
Cleared,0,2007
Reported,26041,2008
Cleared,0,2008
Reported,26494,2009
Cleared,0,2009
Reported,26203,2010
Cleared,0,2010
Reported,26420,2011
Cleared,0,2011
Reported,22748,2012
Cleared,0,2012
Reported,17875,2013
Cleared,0,2013
Reported,14554,2014
Cleared,0,2014
Reported,13169,2015
Cleared,0,2015
Reported,14273,2016
Cleared,0,2016
Reported,12912,2017
Cleared,0,2017
Reported,11725,2018
Cleared,0,2018
