Label,Value,Year
Reported,26892,1985
Cleared,0,1985
Reported,30918,1986
Cleared,5010,1986
Reported,29815,1987
Cleared,924,1987
Reported,28975,1988
Cleared,0,1988
Reported,31588,1989
Cleared,0,1989
Reported,37156,1990
Cleared,5486,1990
Reported,43783,1991
Cleared,0,1991
Reported,38448,1992
Cleared,5641,1992
Reported,35189,1993
Cleared,4599,1993
Reported,33925,1994
Cleared,5071,1994
Reported,30086,1995
Cleared,0,1995
Reported,26860,1996
Cleared,0,1996
Reported,25289,1997
Cleared,0,1997
Reported,23117,1998
Cleared,0,1998
Reported,20210,1999
Cleared,0,1999
Reported,19345,2000
Cleared,0,2000
Reported,18433,2001
Cleared,0,2001
Reported,18532,2002
Cleared,0,2002
Reported,17302,2003
Cleared,0,2003
Reported,15912,2004
Cleared,0,2004
Reported,15964,2005
Cleared,0,2005
Reported,15863,2006
Cleared,0,2006
Reported,15425,2007
Cleared,0,2007
Reported,16653,2008
Cleared,0,2008
Reported,15877,2009
Cleared,0,2009
Reported,14213,2010
Cleared,0,2010
Reported,13975,2011
Cleared,0,2011
Reported,13476,2012
Cleared,0,2012
Reported,11826,2013
Cleared,0,2013
Reported,9800,2014
Cleared,0,2014
Reported,9641,2015
Cleared,0,2015
Reported,11960,2016
Cleared,0,2016
Reported,11887,2017
Cleared,0,2017
Reported,9681,2018
Cleared,0,2018
