Series,Year,Rate
1985,Male Officers,11034
1985,Female Officers,837
1985,Male Civilians,858
1985,Female Civilians,1057
1986,Male Officers,11113
1986,Female Officers,1151
1986,Male Civilians,791
1986,Female Civilians,973
1987,Male Officers,10994
1987,Female Officers,1318
1987,Male Civilians,755
1987,Female Civilians,975
1988,Male Officers,10767
1988,Female Officers,1396
1988,Male Civilians,729
1988,Female Civilians,941
1989,Male Officers,10379
1989,Female Officers,1449
1989,Male Civilians,707
1989,Female Civilians,934
1990,Male Officers,10399
1990,Female Officers,1649
1990,Male Civilians,824
1990,Female Civilians,2194
1991,Male Officers,10337
1991,Female Officers,1795
1991,Male Civilians,830
1991,Female Civilians,2296
1992,Male Officers,10251
1992,Female Officers,1987
1992,Male Civilians,910
1992,Female Civilians,1298
1993,Male Officers,10060
1993,Female Officers,2033
1993,Male Civilians,840
1993,Female Civilians,1263
1994,Male Officers,10726
1994,Female Officers,2245
1994,Male Civilians,876
1994,Female Civilians,1379
1995,Male Officers,10938
1995,Female Officers,2406
1995,Male Civilians,910
1995,Female Civilians,1427
1996,Male Officers,10571
1996,Female Officers,2461
1996,Male Civilians,1152
1996,Female Civilians,1503
1997,Male Officers,10867
1997,Female Officers,2599
1997,Male Civilians,694
1997,Female Civilians,1366
1998,Male Officers,10791
1998,Female Officers,2678
1998,Male Civilians,640
1998,Female Civilians,1198
1999,Male Officers,10579
1999,Female Officers,2787
1999,Male Civilians,478
1999,Female Civilians,1096
2000,Male Officers,10742
2000,Female Officers,2917
2000,Male Civilians,443
2000,Female Civilians,1089
2001,Male Officers,10592
2001,Female Officers,2989
2001,Male Civilians,428
2001,Female Civilians,1057
2002,Male Officers,10531
2002,Female Officers,3078
2002,Male Civilians,390
2002,Female Civilians,933
2003,Male Officers,10448
2003,Female Officers,3105
2003,Male Civilians,366
2003,Female Civilians,858
2004,Male Officers,10192
2004,Female Officers,3134
2004,Male Civilians,304
2004,Female Civilians,695
2005,Male Officers,10128
2005,Female Officers,3139
2005,Male Civilians,384
2005,Female Civilians,791
2006,Male Officers,10390
2006,Female Officers,3234
2006,Male Civilians,397
2006,Female Civilians,671
2007,Male Officers,10420
2007,Female Officers,3251
2007,Male Civilians,397
2007,Female Civilians,668
2008,Male Officers,10157
2008,Female Officers,3202
2008,Male Civilians,351
2008,Female Civilians,597
2009,Male Officers,9947
2009,Female Officers,3141
2009,Male Civilians,323
2009,Female Civilians,549
2010,Male Officers,9517
2010,Female Officers,2998
2010,Male Civilians,295
2010,Female Civilians,508
2011,Male Officers,9206
2011,Female Officers,2886
2011,Male Civilians,256
2011,Female Civilians,451
2012,Male Officers,9166
2012,Female Officers,2778
2012,Male Civilians,349
2012,Female Civilians,473
2013,Male Officers,10791
2013,Female Officers,2678
2013,Male Civilians,640
2013,Female Civilians,1198
2014,Male Officers,9326
2014,Female Officers,2708
2014,Male Civilians,375
2014,Female Civilians,493
2015,Male Officers,10791
2015,Female Officers,2678
2015,Male Civilians,640
2015,Female Civilians,1198
2016,Male Officers,9309
2016,Female Officers,2645
2016,Male Civilians,446
2016,Female Civilians,735
2017,Male Officers,9615
2017,Female Officers,2768
2017,Male Civilians,449
2017,Female Civilians,734
2018,Male Officers,10154
2018,Female Officers,2984
2018,Male Civilians,344
2018,Female Civilians,604
