Label,Value,Year
Reported,7,1985
Cleared,4,1985
Reported,7,1986
Cleared,5,1986
Reported,3,1987
Cleared,2,1987
Reported,4,1988
Cleared,1,1988
Reported,36,1989
Cleared,19,1989
Reported,37,1990
Cleared,28,1990
Reported,118,1991
Cleared,109,1991
Reported,101,1992
Cleared,87,1992
Reported,88,1993
Cleared,72,1993
Reported,109,1994
Cleared,87,1994
Reported,111,1995
Cleared,75,1995
Reported,110,1996
Cleared,83,1996
Reported,116,1997
Cleared,78,1997
Reported,40,1998
Cleared,24,1998
Reported,241,1999
Cleared,186,1999
Reported,271,2000
Cleared,201,2000
Reported,228,2001
Cleared,211,2001
Reported,179,2002
Cleared,159,2002
Reported,114,2003
Cleared,99,2003
Reported,71,2004
Cleared,65,2004
Reported,65,2005
Cleared,57,2005
Reported,35,2006
Cleared,29,2006
Reported,7,2007
Cleared,5,2007
Reported,11,2008
Cleared,7,2008
Reported,9,2009
Cleared,9,2009
Reported,7,2010
Cleared,5,2010
Reported,11,2011
Cleared,5,2011
Reported,11,2012
Cleared,12,2012
Reported,11,2013
Cleared,2,2013
Reported,8,2014
Cleared,2,2014
Reported,5,2015
Cleared,3,2015
Reported,10,2016
Cleared,2,2016
Reported,7,2017
Cleared,3,2017
Reported,12,2018
Cleared,3,2018
