Label,Value,Year
Reported,5,1985
Cleared,1,1985
Reported,4,1986
Cleared,1,1986
Reported,1,1987
Cleared,0,1987
Reported,17,1988
Cleared,3,1988
Reported,9,1989
Cleared,4,1989
Reported,7,1990
Cleared,2,1990
Reported,9,1991
Cleared,0,1991
Reported,6,1992
Cleared,0,1992
Reported,9,1993
Cleared,1,1993
Reported,9,1994
Cleared,2,1994
Reported,17,1995
Cleared,2,1995
Reported,10,1996
Cleared,0,1996
Reported,13,1997
Cleared,2,1997
Reported,5,1998
Cleared,1,1998
Reported,4,1999
Cleared,1,1999
Reported,1,2000
Cleared,0,2000
Reported,1,2001
Cleared,0,2001
Reported,2,2002
Cleared,0,2002
Reported,1,2003
Cleared,1,2003
Reported,1,2004
Cleared,1,2004
Reported,0,2005
Cleared,0,2005
Reported,10,2006
Cleared,4,2006
Reported,12,2007
Cleared,2,2007
Reported,17,2008
Cleared,2,2008
Reported,8,2009
Cleared,1,2009
Reported,10,2010
Cleared,6,2010
Reported,5,2011
Cleared,0,2011
Reported,11,2012
Cleared,9,2012
Reported,5,2013
Cleared,7,2013
Reported,1,2014
Cleared,2,2014
Reported,1,2015
Cleared,2,2015
Reported,0,2016
Cleared,3,2016
Reported,2,2017
Cleared,3,2017
Reported,2,2018
Cleared,4,2018
