Label,Value,Year
Reported,60,1985
Cleared,43,1985
Reported,44,1986
Cleared,35,1986
Reported,58,1987
Cleared,49,1987
Reported,63,1988
Cleared,55,1988
Reported,60,1989
Cleared,48,1989
Reported,48,1990
Cleared,37,1990
Reported,43,1991
Cleared,37,1991
Reported,32,1992
Cleared,33,1992
Reported,35,1993
Cleared,27,1993
Reported,50,1994
Cleared,45,1994
Reported,92,1995
Cleared,71,1995
Reported,70,1996
Cleared,64,1996
Reported,69,1997
Cleared,62,1997
Reported,73,1998
Cleared,67,1998
Reported,52,1999
Cleared,46,1999
Reported,60,2000
Cleared,57,2000
Reported,45,2001
Cleared,44,2001
Reported,46,2002
Cleared,45,2002
Reported,51,2003
Cleared,51,2003
Reported,45,2004
Cleared,45,2004
Reported,36,2005
Cleared,34,2005
Reported,55,2006
Cleared,33,2006
Reported,50,2007
Cleared,19,2007
Reported,38,2008
Cleared,9,2008
Reported,43,2009
Cleared,12,2009
Reported,34,2010
Cleared,8,2010
Reported,42,2011
Cleared,11,2011
Reported,67,2012
Cleared,19,2012
Reported,70,2013
Cleared,10,2013
Reported,66,2014
Cleared,5,2014
Reported,74,2015
Cleared,6,2015
Reported,53,2016
Cleared,5,2016
Reported,73,2017
Cleared,8,2017
Reported,101,2018
Cleared,14,2018
