Label,Value,Year
Reported,18,1985
Cleared,2,1985
Reported,20,1986
Cleared,0,1986
Reported,23,1987
Cleared,2,1987
Reported,13,1988
Cleared,1,1988
Reported,13,1989
Cleared,3,1989
Reported,15,1990
Cleared,2,1990
Reported,10,1991
Cleared,0,1991
Reported,14,1992
Cleared,3,1992
Reported,8,1993
Cleared,1,1993
Reported,4,1994
Cleared,1,1994
Reported,7,1995
Cleared,1,1995
Reported,7,1996
Cleared,1,1996
Reported,2,1997
Cleared,0,1997
Reported,4,1998
Cleared,1,1998
Reported,1,1999
Cleared,0,1999
Reported,11,2000
Cleared,1,2000
Reported,10,2001
Cleared,1,2001
Reported,10,2002
Cleared,0,2002
Reported,5,2003
Cleared,0,2003
Reported,6,2004
Cleared,0,2004
Reported,47,2005
Cleared,2,2005
Reported,82,2006
Cleared,0,2006
Reported,99,2007
Cleared,5,2007
Reported,70,2008
Cleared,3,2008
Reported,64,2009
Cleared,2,2009
Reported,44,2010
Cleared,2,2010
Reported,57,2011
Cleared,0,2011
Reported,65,2012
Cleared,0,2012
Reported,52,2013
Cleared,7,2013
Reported,32,2014
Cleared,2,2014
Reported,18,2015
Cleared,5,2015
Reported,21,2016
Cleared,2,2016
Reported,18,2017
Cleared,1,2017
Reported,12,2018
Cleared,1,2018
