Label,Value,Year
Reported,407,1985
Cleared,63,1985
Reported,510,1986
Cleared,127,1986
Reported,619,1987
Cleared,86,1987
Reported,684,1988
Cleared,55,1988
Reported,686,1989
Cleared,46,1989
Reported,599,1990
Cleared,63,1990
Reported,663,1991
Cleared,61,1991
Reported,727,1992
Cleared,58,1992
Reported,602,1993
Cleared,70,1993
Reported,546,1994
Cleared,43,1994
Reported,600,1995
Cleared,56,1995
Reported,582,1996
Cleared,41,1996
Reported,374,1997
Cleared,34,1997
Reported,354,1998
Cleared,76,1998
Reported,361,1999
Cleared,55,1999
Reported,361,2000
Cleared,56,2000
Reported,324,2001
Cleared,17,2001
Reported,456,2002
Cleared,13,2002
Reported,511,2003
Cleared,0,2003
Reported,436,2004
Cleared,14,2004
Reported,319,2005
Cleared,11,2005
Reported,275,2006
Cleared,5,2006
Reported,307,2007
Cleared,8,2007
Reported,296,2008
Cleared,8,2008
Reported,287,2009
Cleared,10,2009
Reported,195,2010
Cleared,6,2010
Reported,227,2011
Cleared,2,2011
Reported,274,2012
Cleared,4,2012
Reported,231,2013
Cleared,8,2013
Reported,243,2014
Cleared,4,2014
Reported,201,2015
Cleared,10,2015
Reported,279,2016
Cleared,7,2016
Reported,223,2017
Cleared,5,2017
Reported,245,2018
Cleared,32,2018
