Label,Value,Year
Reported,447,1985
Cleared,67,1985
Reported,554,1986
Cleared,132,1986
Reported,671,1987
Cleared,95,1987
Reported,723,1988
Cleared,61,1988
Reported,724,1989
Cleared,51,1989
Reported,639,1990
Cleared,74,1990
Reported,712,1991
Cleared,63,1991
Reported,769,1992
Cleared,64,1992
Reported,631,1993
Cleared,77,1993
Reported,567,1994
Cleared,49,1994
Reported,616,1995
Cleared,59,1995
Reported,610,1996
Cleared,47,1996
Reported,403,1997
Cleared,39,1997
Reported,369,1998
Cleared,79,1998
Reported,380,1999
Cleared,56,1999
Reported,381,2000
Cleared,58,2000
Reported,341,2001
Cleared,20,2001
Reported,474,2002
Cleared,13,2002
Reported,533,2003
Cleared,0,2003
Reported,452,2004
Cleared,16,2004
Reported,377,2005
Cleared,14,2005
Reported,380,2006
Cleared,6,2006
Reported,419,2007
Cleared,14,2007
Reported,385,2008
Cleared,11,2008
Reported,364,2009
Cleared,12,2009
Reported,250,2010
Cleared,8,2010
Reported,296,2011
Cleared,4,2011
Reported,345,2012
Cleared,5,2012
Reported,288,2013
Cleared,15,2013
Reported,282,2014
Cleared,6,2014
Reported,228,2015
Cleared,17,2015
Reported,318,2016
Cleared,11,2016
Reported,252,2017
Cleared,8,2017
Reported,263,2018
Cleared,34,2018
