Label,Value,Year
Reported,14,1985
Cleared,4,1985
Reported,7,1986
Cleared,4,1986
Reported,28,1987
Cleared,16,1987
Reported,24,1988
Cleared,17,1988
Reported,9,1989
Cleared,3,1989
Reported,6,1990
Cleared,3,1990
Reported,16,1991
Cleared,10,1991
Reported,13,1992
Cleared,7,1992
Reported,9,1993
Cleared,3,1993
Reported,2,1994
Cleared,2,1994
Reported,5,1995
Cleared,4,1995
Reported,5,1996
Cleared,0,1996
Reported,3,1997
Cleared,0,1997
Reported,4,1998
Cleared,1,1998
Reported,3,1999
Cleared,2,1999
Reported,5,2000
Cleared,0,2000
Reported,5,2001
Cleared,1,2001
Reported,5,2002
Cleared,1,2002
Reported,3,2003
Cleared,0,2003
Reported,4,2004
Cleared,1,2004
Reported,10,2005
Cleared,2,2005
Reported,3,2006
Cleared,1,2006
Reported,6,2007
Cleared,5,2007
Reported,5,2008
Cleared,2,2008
Reported,10,2009
Cleared,4,2009
Reported,2,2010
Cleared,2,2010
Reported,9,2011
Cleared,3,2011
Reported,7,2012
Cleared,1,2012
Reported,11,2013
Cleared,1,2013
Reported,9,2014
Cleared,0,2014
Reported,12,2015
Cleared,3,2015
Reported,9,2016
Cleared,2,2016
Reported,14,2017
Cleared,1,2017
Reported,15,2018
Cleared,3,2018
