Series,Year,Rate
1985,Male Officers,15
1985,Female Officers,0
1985,Male Civilians,6
1985,Female Civilians,6
1986,Male Officers,15
1986,Female Officers,0
1986,Male Civilians,7
1986,Female Civilians,8
1987,Male Officers,16
1987,Female Officers,0
1987,Male Civilians,7
1987,Female Civilians,7
1988,Male Officers,22
1988,Female Officers,0
1988,Male Civilians,0
1988,Female Civilians,9
1989,Male Officers,26
1989,Female Officers,0
1989,Male Civilians,0
1989,Female Civilians,9
1990,Male Officers,26
1990,Female Officers,0
1990,Male Civilians,1
1990,Female Civilians,10
1991,Male Officers,19
1991,Female Officers,0
1991,Male Civilians,6
1991,Female Civilians,13
1992,Male Officers,19
1992,Female Officers,1
1992,Male Civilians,7
1992,Female Civilians,15
1993,Male Officers,19
1993,Female Officers,1
1993,Male Civilians,9
1993,Female Civilians,14
1994,Male Officers,19
1994,Female Officers,1
1994,Male Civilians,16
1994,Female Civilians,24
1995,Male Officers,19
1995,Female Officers,1
1995,Male Civilians,16
1995,Female Civilians,25
1996,Male Officers,20
1996,Female Officers,0
1996,Male Civilians,16
1996,Female Civilians,27
1997,Male Officers,21
1997,Female Officers,1
1997,Male Civilians,19
1997,Female Civilians,27
1998,Male Officers,23
1998,Female Officers,0
1998,Male Civilians,18
1998,Female Civilians,28
1999,Male Officers,26
1999,Female Officers,0
1999,Male Civilians,23
1999,Female Civilians,27
2000,Male Officers,29
2000,Female Officers,0
2000,Male Civilians,16
2000,Female Civilians,36
2001,Male Officers,32
2001,Female Officers,1
2001,Male Civilians,21
2001,Female Civilians,29
2002,Male Officers,29
2002,Female Officers,0
2002,Male Civilians,26
2002,Female Civilians,27
2003,Male Officers,29
2003,Female Officers,0
2003,Male Civilians,22
2003,Female Civilians,30
2004,Male Officers,26
2004,Female Officers,0
2004,Male Civilians,29
2004,Female Civilians,26
2005,Male Officers,26
2005,Female Officers,0
2005,Male Civilians,26
2005,Female Civilians,27
2006,Male Officers,26
2006,Female Officers,0
2006,Male Civilians,28
2006,Female Civilians,28
2007,Male Officers,26
2007,Female Officers,0
2007,Male Civilians,28
2007,Female Civilians,28
2008,Male Officers,26
2008,Female Officers,0
2008,Male Civilians,26
2008,Female Civilians,29
2009,Male Officers,29
2009,Female Officers,0
2009,Male Civilians,28
2009,Female Civilians,28
2010,Male Officers,29
2010,Female Officers,0
2010,Male Civilians,28
2010,Female Civilians,28
2011,Male Officers,29
2011,Female Officers,0
2011,Male Civilians,29
2011,Female Civilians,26
2012,Male Officers,28
2012,Female Officers,0
2012,Male Civilians,29
2012,Female Civilians,25
2013,Male Officers,29
2013,Female Officers,0
2013,Male Civilians,36
2013,Female Civilians,21
2014,Male Officers,30
2014,Female Officers,0
2014,Male Civilians,39
2014,Female Civilians,22
2015,Male Officers,30
2015,Female Officers,0
2015,Male Civilians,40
2015,Female Civilians,21
2016,Male Officers,32
2016,Female Officers,0
2016,Male Civilians,39
2016,Female Civilians,22
2017,Male Officers,
2017,Female Officers,
2017,Male Civilians,
2017,Female Civilians,
2018,Male Officers,33
2018,Female Officers,0
2018,Male Civilians,39
2018,Female Civilians,26
