Label,Value,Year
Reported,2422,1985
Cleared,923,1985
Reported,2235,1986
Cleared,996,1986
Reported,2720,1987
Cleared,1163,1987
Reported,3670,1988
Cleared,2199,1988
Reported,3529,1989
Cleared,2403,1989
Reported,3983,1990
Cleared,2832,1990
Reported,4415,1991
Cleared,3478,1991
Reported,4028,1992
Cleared,2794,1992
Reported,3657,1993
Cleared,1781,1993
Reported,3422,1994
Cleared,1499,1994
Reported,3636,1995
Cleared,1707,1995
Reported,4280,1996
Cleared,1976,1996
Reported,4601,1997
Cleared,2554,1997
Reported,5002,1998
Cleared,3303,1998
Reported,4579,1999
Cleared,3140,1999
Reported,3753,2000
Cleared,2461,2000
Reported,4087,2001
Cleared,2736,2001
Reported,4028,2002
Cleared,2812,2002
Reported,3714,2003
Cleared,2429,2003
Reported,3716,2004
Cleared,2396,2004
Reported,4039,2005
Cleared,2534,2005
Reported,3751,2006
Cleared,2332,2006
Reported,5176,2007
Cleared,3089,2007
Reported,5123,2008
Cleared,3312,2008
Reported,5271,2009
Cleared,3298,2009
Reported,5726,2010
Cleared,3911,2010
Reported,5267,2011
Cleared,3635,2011
Reported,5967,2012
Cleared,3575,2012
Reported,5894,2013
Cleared,3453,2013
Reported,6251,2014
Cleared,2379,2014
Reported,6497,2015
Cleared,2651,2015
Reported,7099,2016
Cleared,3351,2016
Reported,7307,2017
Cleared,3428,2017
Reported,7250,2018
Cleared,3336,2018
