Label,Value,Year
Reported,220,1985
Cleared,86,1985
Reported,278,1986
Cleared,108,1986
Reported,230,1987
Cleared,77,1987
Reported,231,1988
Cleared,74,1988
Reported,272,1989
Cleared,83,1989
Reported,287,1990
Cleared,79,1990
Reported,286,1991
Cleared,90,1991
Reported,271,1992
Cleared,66,1992
Reported,246,1993
Cleared,80,1993
Reported,352,1994
Cleared,107,1994
Reported,338,1995
Cleared,91,1995
Reported,325,1996
Cleared,89,1996
Reported,343,1997
Cleared,94,1997
Reported,446,1998
Cleared,90,1998
Reported,359,1999
Cleared,153,1999
Reported,306,2000
Cleared,97,2000
Reported,279,2001
Cleared,136,2001
Reported,389,2002
Cleared,144,2002
Reported,499,2003
Cleared,149,2003
Reported,441,2004
Cleared,116,2004
Reported,374,2005
Cleared,124,2005
Reported,347,2006
Cleared,79,2006
Reported,336,2007
Cleared,111,2007
Reported,367,2008
Cleared,42,2008
Reported,346,2009
Cleared,68,2009
Reported,425,2010
Cleared,89,2010
Reported,463,2011
Cleared,80,2011
Reported,409,2012
Cleared,62,2012
Reported,317,2013
Cleared,76,2013
Reported,271,2014
Cleared,25,2014
Reported,193,2015
Cleared,19,2015
Reported,251,2016
Cleared,29,2016
Reported,256,2017
Cleared,31,2017
Reported,229,2018
Cleared,37,2018
