Label,Value,Year
Reported,8209,1985
Cleared,1021,1985
Reported,8247,1986
Cleared,928,1986
Reported,8744,1987
Cleared,908,1987
Reported,7714,1988
Cleared,996,1988
Reported,8520,1989
Cleared,916,1989
Reported,7878,1990
Cleared,928,1990
Reported,8732,1991
Cleared,855,1991
Reported,8102,1992
Cleared,860,1992
Reported,7629,1993
Cleared,682,1993
Reported,8151,1994
Cleared,662,1994
Reported,7797,1995
Cleared,667,1995
Reported,7797,1996
Cleared,805,1996
Reported,7935,1997
Cleared,799,1997
Reported,11258,1998
Cleared,1314,1998
Reported,9971,1999
Cleared,1332,1999
Reported,8095,2000
Cleared,1034,2000
Reported,9043,2001
Cleared,1132,2001
Reported,9662,2002
Cleared,1393,2002
Reported,10062,2003
Cleared,1273,2003
Reported,10920,2004
Cleared,1338,2004
Reported,11548,2005
Cleared,1531,2005
Reported,11734,2006
Cleared,1574,2006
Reported,13385,2007
Cleared,1428,2007
Reported,14267,2008
Cleared,1632,2008
Reported,15217,2009
Cleared,1687,2009
Reported,13938,2010
Cleared,1868,2010
Reported,15122,2011
Cleared,2022,2011
Reported,14774,2012
Cleared,1643,2012
Reported,13445,2013
Cleared,1454,2013
Reported,12125,2014
Cleared,667,2014
Reported,11085,2015
Cleared,727,2015
Reported,10209,2016
Cleared,720,2016
Reported,8945,2017
Cleared,617,2017
Reported,7842,2018
Cleared,564,2018
