Label,Value,Year
Reported,59,1985
Cleared,41,1985
Reported,63,1986
Cleared,43,1986
Reported,57,1987
Cleared,40,1987
Reported,79,1988
Cleared,60,1988
Reported,41,1989
Cleared,49,1989
Reported,58,1990
Cleared,48,1990
Reported,95,1991
Cleared,73,1991
Reported,88,1992
Cleared,55,1992
Reported,68,1993
Cleared,72,1993
Reported,108,1994
Cleared,65,1994
Reported,99,1995
Cleared,65,1995
Reported,114,1996
Cleared,90,1996
Reported,118,1997
Cleared,82,1997
Reported,143,1998
Cleared,130,1998
Reported,113,1999
Cleared,89,1999
Reported,96,2000
Cleared,63,2000
Reported,112,2001
Cleared,78,2001
Reported,112,2002
Cleared,88,2002
Reported,105,2003
Cleared,86,2003
Reported,109,2004
Cleared,95,2004
Reported,108,2005
Cleared,86,2005
Reported,140,2006
Cleared,103,2006
Reported,114,2007
Cleared,79,2007
Reported,114,2008
Cleared,88,2008
Reported,99,2009
Cleared,64,2009
Reported,92,2010
Cleared,76,2010
Reported,96,2011
Cleared,65,2011
Reported,97,2012
Cleared,61,2012
Reported,129,2013
Cleared,84,2013
Reported,136,2014
Cleared,91,2014
Reported,148,2015
Cleared,80,2015
Reported,148,2016
Cleared,75,2016
Reported,156,2017
Cleared,70,2017
Reported,162,2018
Cleared,83,2018
