Label,Value,Year
Reported,13927,1985
Cleared,1862,1985
Reported,13815,1986
Cleared,1948,1986
Reported,13336,1987
Cleared,2118,1987
Reported,12758,1988
Cleared,2308,1988
Reported,13122,1989
Cleared,2468,1989
Reported,13697,1990
Cleared,2692,1990
Reported,14970,1991
Cleared,2821,1991
Reported,15730,1992
Cleared,2663,1992
Reported,14383,1993
Cleared,2659,1993
Reported,15041,1994
Cleared,2324,1994
Reported,15941,1995
Cleared,2586,1995
Reported,16842,1996
Cleared,2141,1996
Reported,14840,1997
Cleared,2528,1997
Reported,21851,1998
Cleared,4485,1998
Reported,17279,1999
Cleared,3756,1999
Reported,16466,2000
Cleared,3779,2000
Reported,18224,2001
Cleared,4970,2001
Reported,24821,2002
Cleared,4907,2002
Reported,27891,2003
Cleared,4638,2003
Reported,28364,2004
Cleared,4856,2004
Reported,29541,2005
Cleared,5006,2005
Reported,28929,2006
Cleared,4375,2006
Reported,29224,2007
Cleared,5096,2007
Reported,28466,2008
Cleared,5478,2008
Reported,27717,2009
Cleared,5129,2009
Reported,27530,2010
Cleared,5679,2010
Reported,26588,2011
Cleared,5586,2011
Reported,27525,2012
Cleared,5298,2012
Reported,26156,2013
Cleared,5039,2013
Reported,24090,2014
Cleared,3271,2014
Reported,25301,2015
Cleared,3406,2015
Reported,26335,2016
Cleared,3557,2016
Reported,24569,2017
Cleared,3177,2017
Reported,23448,2018
Cleared,2747,2018
