Label,Value,Year
Reported,25029,1985
Cleared,3234,1985
Reported,25419,1986
Cleared,3265,1986
Reported,25815,1987
Cleared,3400,1987
Reported,24049,1988
Cleared,3768,1988
Reported,25639,1989
Cleared,3969,1989
Reported,26411,1990
Cleared,4178,1990
Reported,28933,1991
Cleared,4197,1991
Reported,29044,1992
Cleared,3944,1992
Reported,27238,1993
Cleared,3889,1993
Reported,29193,1994
Cleared,3627,1994
Reported,29754,1995
Cleared,4125,1995
Reported,30499,1996
Cleared,3615,1996
Reported,28432,1997
Cleared,4070,1997
Reported,38910,1998
Cleared,6830,1998
Reported,32684,1999
Cleared,6196,1999
Reported,30546,2000
Cleared,5750,2000
Reported,33630,2001
Cleared,7278,2001
Reported,40985,2002
Cleared,7331,2002
Reported,45386,2003
Cleared,6833,2003
Reported,46998,2004
Cleared,7078,2004
Reported,50081,2005
Cleared,7533,2005
Reported,49599,2006
Cleared,6857,2006
Reported,50289,2007
Cleared,8096,2007
Reported,49177,2008
Cleared,8634,2008
Reported,47419,2009
Cleared,7709,2009
Reported,45944,2010
Cleared,8514,2010
Reported,46967,2011
Cleared,8538,2011
Reported,46898,2012
Cleared,7725,2012
Reported,44606,2013
Cleared,7240,2013
Reported,41394,2014
Cleared,4471,2014
Reported,41377,2015
Cleared,4728,2015
Reported,41540,2016
Cleared,5079,2016
Reported,38418,2017
Cleared,4499,2017
Reported,36237,2018
Cleared,3987,2018
