Label,Value,Year
Reported,4622,1985
Cleared,1542,1985
Reported,4307,1986
Cleared,1632,1986
Reported,4543,1987
Cleared,1745,1987
Reported,5635,1988
Cleared,2850,1988
Reported,5859,1989
Cleared,3132,1989
Reported,6224,1990
Cleared,3594,1990
Reported,7072,1991
Cleared,4363,1991
Reported,6814,1992
Cleared,3594,1992
Reported,6292,1993
Cleared,2627,1993
Reported,6467,1994
Cleared,2318,1994
Reported,6715,1995
Cleared,2659,1995
Reported,7418,1996
Cleared,3033,1996
Reported,7852,1997
Cleared,3700,1997
Reported,8624,1998
Cleared,4749,1998
Reported,7714,1999
Cleared,4552,1999
Reported,6843,2000
Cleared,3622,2000
Reported,7428,2001
Cleared,3962,2001
Reported,7518,2002
Cleared,4121,2002
Reported,7067,2003
Cleared,3682,2003
Reported,7067,2004
Cleared,3638,2004
Reported,7948,2005
Cleared,3863,2005
Reported,7689,2006
Cleared,3722,2006
Reported,9841,2007
Cleared,4732,2007
Reported,9735,2008
Cleared,5055,2008
Reported,9759,2009
Cleared,4830,2009
Reported,9646,2010
Cleared,5539,2010
Reported,9170,2011
Cleared,5195,2011
Reported,9942,2012
Cleared,5046,2012
Reported,10479,2013
Cleared,5026,2013
Reported,10768,2014
Cleared,3560,2014
Reported,11124,2015
Cleared,3783,2015
Reported,11907,2016
Cleared,4811,2016
Reported,11616,2017
Cleared,4828,2017
Reported,11170,2018
Cleared,4590,2018
