Series,Year,Rate
1985,Male Officers,842
1985,Female Officers,109
1985,Male Civilians,84
1985,Female Civilians,254
1986,Male Officers,835
1986,Female Officers,117
1986,Male Civilians,92
1986,Female Civilians,240
1987,Male Officers,849
1987,Female Officers,127
1987,Male Civilians,84
1987,Female Civilians,267
1988,Male Officers,866
1988,Female Officers,146
1988,Male Civilians,87
1988,Female Civilians,271
1989,Male Officers,846
1989,Female Officers,151
1989,Male Civilians,90
1989,Female Civilians,265
1990,Male Officers,839
1990,Female Officers,145
1990,Male Civilians,100
1990,Female Civilians,285
1991,Male Officers,841
1991,Female Officers,147
1991,Male Civilians,94
1991,Female Civilians,286
1992,Male Officers,832
1992,Female Officers,145
1992,Male Civilians,92
1992,Female Civilians,261
1993,Male Officers,817
1993,Female Officers,150
1993,Male Civilians,94
1993,Female Civilians,268
1994,Male Officers,813
1994,Female Officers,149
1994,Male Civilians,110
1994,Female Civilians,269
1995,Male Officers,820
1995,Female Officers,155
1995,Male Civilians,105
1995,Female Civilians,263
1996,Male Officers,852
1996,Female Officers,161
1996,Male Civilians,76
1996,Female Civilians,186
1997,Male Officers,842
1997,Female Officers,156
1997,Male Civilians,77
1997,Female Civilians,195
1998,Male Officers,1344
1998,Female Officers,212
1998,Male Civilians,263
1998,Female Civilians,528
1999,Male Officers,1249
1999,Female Officers,193
1999,Male Civilians,147
1999,Female Civilians,434
2000,Male Officers,1382
2000,Female Officers,207
2000,Male Civilians,224
2000,Female Civilians,454
2001,Male Officers,1348
2001,Female Officers,202
2001,Male Civilians,419
2001,Female Civilians,540
2002,Male Officers,1380
2002,Female Officers,209
2002,Male Civilians,482
2002,Female Civilians,594
2003,Male Officers,1370
2003,Female Officers,211
2003,Male Civilians,499
2003,Female Civilians,568
2004,Male Officers,1426
2004,Female Officers,212
2004,Male Civilians,560
2004,Female Civilians,631
2005,Male Officers,1401
2005,Female Officers,202
2005,Male Civilians,349
2005,Female Civilians,620
2006,Male Officers,1379
2006,Female Officers,202
2006,Male Civilians,321
2006,Female Civilians,532
2007,Male Officers,1400
2007,Female Officers,205
2007,Male Civilians,65
2007,Female Civilians,213
2008,Male Officers,1387
2008,Female Officers,203
2008,Male Civilians,60
2008,Female Civilians,198
2009,Male Officers,1413
2009,Female Officers,206
2009,Male Civilians,85
2009,Female Civilians,194
2010,Male Officers,1438
2010,Female Officers,210
2010,Male Civilians,77
2010,Female Civilians,188
2011,Male Officers,1407
2011,Female Officers,207
2011,Male Civilians,73
2011,Female Civilians,170
2012,Male Officers,1385
2012,Female Officers,206
2012,Male Civilians,65
2012,Female Civilians,157
2013,Male Officers,1341
2013,Female Officers,198
2013,Male Civilians,62
2013,Female Civilians,148
2014,Male Officers,1337
2014,Female Officers,199
2014,Male Civilians,60
2014,Female Civilians,129
2015,Male Officers,1369
2015,Female Officers,209
2015,Male Civilians,61
2015,Female Civilians,137
2016,Male Officers,1401
2016,Female Officers,211
2016,Male Civilians,59
2016,Female Civilians,135
2017,Male Officers,1421
2017,Female Officers,204
2017,Male Civilians,64
2017,Female Civilians,145
2018,Male Officers,1927
2018,Female Officers,689
2018,Male Civilians,150
2018,Female Civilians,387
