ori,year,aggravated_assault,all_other_offenses,arson,burglary,curfew,disorderly_conduct,dui,drug_grand_total,drunkness,embezzlement,forgery,fraud,gambling_total,human_trafficking_commercial_sex_traffic,human_trafficking_servitude,larceny,liquor_laws,manslaughter,motor_vehicle_theft,murder,offense_against_family,prostitution_total,rape,robbery,other_sex_offenses,simple_assault,stolen_property,suspicion,vagrancy,vandalism,weapons
KY0190700,2018,0,61,0,2,0,7,15,11,13,2,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,20,2,0,0,1,0
KY0190700,2017,0,72,0,2,0,3,16,14,12,6,1,0,0,0,0,17,0,0,0,0,3,0,0,0,0,21,2,0,0,4,1
KY0190700,2016,0,49,0,7,0,24,3,13,2,0,0,0,0,0,0,34,0,0,0,0,3,0,0,1,0,20,0,0,0,2,0
KY0190700,2015,1,43,0,0,0,5,11,25,8,1,0,0,0,0,0,54,3,0,0,0,2,0,1,1,0,25,3,0,0,0,2
KY0190700,2014,1,44,0,0,0,1,27,31,10,6,0,4,0,0,0,63,0,0,0,0,3,0,1,3,0,17,2,0,0,2,0
KY0190700,2013,0,50,0,3,0,4,46,52,5,3,1,1,0,0,0,62,0,0,1,0,5,0,0,1,1,12,0,0,0,2,0
KY0190700,2012,0,47,0,2,0,3,17,40,9,1,1,1,0,0,0,28,1,0,1,0,3,0,0,0,1,26,0,0,0,0,2
KY0190700,2011,2,37,1,0,0,6,22,22,6,5,0,0,0,0,0,40,5,0,0,0,0,0,0,3,0,23,0,0,0,3,0
KY0190700,2010,0,54,0,3,0,8,29,25,5,5,0,3,0,0,0,70,2,0,1,0,2,0,0,0,2,33,1,0,0,7,1
KY0190700,2009,2,57,0,3,0,2,58,48,4,2,1,4,0,0,0,61,9,0,0,0,4,0,0,2,4,46,2,0,0,2,3
KY0190700,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1994,11,4,0,0,0,3,11,2,11,0,0,2,0,0,0,18,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1
KY0190700,1993,2,12,1,1,0,15,22,1,18,0,0,0,0,0,0,9,13,0,1,0,0,0,1,0,0,6,2,0,0,2,1
KY0190700,1992,7,10,0,0,0,4,31,2,12,0,0,1,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,0,0,3,0
KY0190700,1991,8,3,0,0,0,0,21,5,12,0,0,0,0,0,0,1,6,0,0,1,1,0,0,0,1,1,0,0,0,3,0
KY0190700,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1989,0,3,0,0,0,1,8,3,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KY0190700,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1986,0,1,0,1,0,3,6,0,8,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY0190700,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
