year,ori,aggravated_assault_actual,aggravated_assault_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,homicide_actual,homicide_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared,property_crime_actual,property_crime_cleared,robbery_actual,robbery_cleared,violent_crime_actual,violent_crime_cleared
1994,LA0190100,9,9,0,0,6,2,0,0,14,9,2,2,22,13,2,2,11,11
1995,LA0190100,23,19,2,1,20,6,0,0,10,4,1,1,31,11,0,0,23,19
1996,LA0190100,1,1,0,0,7,5,2,2,6,3,1,1,14,9,0,0,3,3
1997,LA0190100,19,12,0,0,36,9,1,0,41,11,8,3,85,23,2,1,24,15
1998,LA0190100,17,13,0,0,26,4,0,0,49,12,3,2,78,18,5,5,22,18
1999,LA0190100,7,6,0,0,15,2,0,0,56,24,5,3,76,29,1,0,9,7
2000,LA0190100,26,16,0,0,8,0,0,0,33,5,0,0,41,5,2,0,28,16
2001,LA0190100,8,0,0,0,20,0,0,0,38,4,3,1,61,5,0,0,9,0
2002,LA0190100,10,1,0,0,11,2,0,0,18,2,0,0,29,4,1,0,11,1
2003,LA0190100,21,7,0,0,0,0,0,0,44,4,0,0,44,4,3,3,24,10
2004,LA0190100,14,3,0,0,13,1,0,0,26,1,0,0,39,2,0,0,14,3
2005,LA0190100,20,15,0,0,30,4,0,0,49,10,5,1,84,15,2,2,22,17
2006,LA0190100,38,29,0,0,21,2,0,0,71,20,2,1,94,23,2,0,42,30
2007,LA0190100,31,0,0,0,18,0,1,0,47,0,7,0,72,0,0,0,32,0
2008,LA0190100,29,21,0,0,19,3,0,0,29,4,1,0,49,7,1,1,31,23
2009,LA0190100,26,15,0,0,8,0,1,1,26,6,2,0,36,6,0,0,27,16
2010,LA0190100,10,4,1,1,11,1,0,0,27,7,2,0,40,8,1,1,11,5
2011,LA0190100,13,6,0,0,10,1,0,0,18,4,1,1,29,6,0,0,13,6
2012,LA0190100,2,1,0,0,3,0,1,1,5,2,0,0,8,2,0,0,3,2
2013,LA0190100,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
2014,LA0190100,1,0,0,0,2,1,0,0,2,2,0,0,4,3,0,0,1,0
2015,LA0190100,4,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,2
2016,LA0190100,6,2,0,0,0,0,0,0,1,0,0,0,1,0,3,2,9,4
2017,LA0190100,4,3,0,0,2,1,0,0,3,0,0,0,5,1,1,1,5,4
2018,LA0190100,5,1,0,0,2,0,0,0,11,0,0,0,13,0,0,0,5,1
