Label,Value,Year
Reported,293,1985
Cleared,20,1985
Reported,230,1986
Cleared,12,1986
Reported,181,1987
Cleared,12,1987
Reported,223,1988
Cleared,6,1988
Reported,243,1989
Cleared,3,1989
Reported,293,1990
Cleared,8,1990
Reported,320,1991
Cleared,14,1991
Reported,277,1992
Cleared,19,1992
Reported,258,1993
Cleared,43,1993
Reported,147,1994
Cleared,23,1994
Reported,163,1995
Cleared,35,1995
Reported,174,1996
Cleared,22,1996
Reported,124,1997
Cleared,25,1997
Reported,112,1998
Cleared,18,1998
Reported,139,1999
Cleared,8,1999
Reported,171,2000
Cleared,17,2000
Reported,121,2001
Cleared,3,2001
Reported,112,2002
Cleared,5,2002
Reported,104,2003
Cleared,4,2003
Reported,122,2004
Cleared,7,2004
Reported,140,2005
Cleared,5,2005
Reported,118,2006
Cleared,5,2006
Reported,156,2007
Cleared,4,2007
Reported,152,2008
Cleared,1,2008
Reported,166,2009
Cleared,2,2009
Reported,168,2010
Cleared,9,2010
Reported,180,2011
Cleared,19,2011
Reported,168,2012
Cleared,4,2012
Reported,172,2013
Cleared,6,2013
Reported,124,2014
Cleared,7,2014
Reported,102,2015
Cleared,7,2015
Reported,114,2016
Cleared,6,2016
Reported,116,2017
Cleared,6,2017
