Label,Value,Year
Reported,43,1985
Cleared,8,1985
Reported,33,1986
Cleared,5,1986
Reported,42,1987
Cleared,2,1987
Reported,46,1988
Cleared,3,1988
Reported,42,1989
Cleared,2,1989
Reported,32,1990
Cleared,1,1990
Reported,24,1991
Cleared,1,1991
Reported,15,1992
Cleared,4,1992
Reported,18,1993
Cleared,2,1993
Reported,21,1994
Cleared,4,1994
Reported,21,1995
Cleared,5,1995
Reported,24,1996
Cleared,6,1996
Reported,15,1997
Cleared,2,1997
Reported,14,1998
Cleared,3,1998
Reported,17,1999
Cleared,1,1999
Reported,12,2000
Cleared,0,2000
Reported,6,2001
Cleared,1,2001
Reported,14,2002
Cleared,1,2002
Reported,6,2003
Cleared,2,2003
Reported,9,2004
Cleared,0,2004
Reported,11,2005
Cleared,0,2005
Reported,16,2006
Cleared,1,2006
Reported,15,2007
Cleared,3,2007
Reported,15,2008
Cleared,1,2008
Reported,25,2009
Cleared,0,2009
Reported,11,2010
Cleared,2,2010
Reported,15,2011
Cleared,0,2011
Reported,9,2012
Cleared,1,2012
Reported,13,2013
Cleared,0,2013
Reported,13,2014
Cleared,2,2014
Reported,3,2015
Cleared,0,2015
Reported,5,2016
Cleared,1,2016
Reported,9,2017
Cleared,0,2017
