Label,Value,Year
Reported,35,1985
Cleared,14,1985
Reported,20,1986
Cleared,6,1986
Reported,40,1987
Cleared,21,1987
Reported,23,1988
Cleared,19,1988
Reported,25,1989
Cleared,7,1989
Reported,19,1990
Cleared,9,1990
Reported,19,1991
Cleared,13,1991
Reported,14,1992
Cleared,11,1992
Reported,10,1993
Cleared,6,1993
Reported,86,1994
Cleared,62,1994
Reported,84,1995
Cleared,65,1995
Reported,26,1996
Cleared,17,1996
Reported,18,1997
Cleared,17,1997
Reported,43,1998
Cleared,40,1998
Reported,6,1999
Cleared,6,1999
Reported,17,2000
Cleared,14,2000
Reported,19,2001
Cleared,19,2001
Reported,22,2002
Cleared,10,2002
Reported,31,2003
Cleared,15,2003
Reported,24,2004
Cleared,11,2004
Reported,32,2005
Cleared,5,2005
Reported,14,2006
Cleared,6,2006
Reported,25,2007
Cleared,7,2007
Reported,38,2008
Cleared,15,2008
Reported,28,2009
Cleared,11,2009
Reported,31,2010
Cleared,5,2010
Reported,23,2011
Cleared,4,2011
Reported,19,2012
Cleared,8,2012
Reported,24,2013
Cleared,9,2013
Reported,16,2014
Cleared,7,2014
Reported,8,2015
Cleared,3,2015
Reported,14,2016
Cleared,4,2016
Reported,16,2017
Cleared,3,2017
