year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,MA0090700,35,14,0,0,10,3,24,11,462,44,2,1,126,16,293,20,43,8
1986,MA0090700,20,6,0,0,5,0,12,5,360,24,0,0,97,7,230,12,33,5
1987,MA0090700,40,21,0,0,3,0,37,21,304,19,0,0,81,5,181,12,42,2
1988,MA0090700,23,19,0,0,2,0,21,19,387,13,5,0,118,4,223,6,46,3
1989,MA0090700,25,7,0,0,8,1,17,6,403,6,1,1,118,1,243,3,42,2
1990,MA0090700,19,9,0,0,10,2,8,7,532,10,1,0,207,1,293,8,32,1
1991,MA0090700,19,13,0,0,8,2,11,11,474,91,6,0,130,76,320,14,24,1
1992,MA0090700,14,11,0,0,5,2,7,7,365,24,2,1,73,1,277,19,15,4
1993,MA0090700,10,6,0,0,3,0,7,6,342,47,2,0,66,2,258,43,18,2
1994,MA0090700,86,62,0,0,6,3,78,59,228,33,5,0,60,6,147,23,21,4
1995,MA0090700,84,65,0,0,5,2,79,63,254,48,4,0,70,8,163,35,21,5
1996,MA0090700,26,17,0,0,4,0,21,17,231,31,7,0,33,3,174,22,24,6
1997,MA0090700,18,17,0,0,1,1,15,14,173,30,4,0,34,3,124,25,15,2
1998,MA0090700,43,40,0,0,3,2,39,37,182,31,0,0,56,10,112,18,14,3
1999,MA0090700,6,6,0,0,0,0,6,6,180,10,0,0,24,1,139,8,17,1
2000,MA0090700,17,14,0,0,1,0,14,13,232,30,0,0,49,13,171,17,12,0
2001,MA0090700,19,19,0,0,0,0,19,19,169,4,0,0,42,0,121,3,6,1
2002,MA0090700,22,10,0,0,2,1,20,9,177,8,1,0,51,2,112,5,14,1
2003,MA0090700,31,15,0,0,4,1,26,14,163,11,1,0,53,5,104,4,6,2
2004,MA0090700,24,11,1,1,12,3,10,7,197,11,3,0,66,4,122,7,9,0
2005,MA0090700,32,5,0,0,6,0,21,5,220,9,7,1,69,4,140,5,11,0
2006,MA0090700,14,6,0,0,2,0,10,6,196,9,2,0,62,3,118,5,16,1
2007,MA0090700,25,7,0,0,4,2,16,4,242,13,1,0,71,6,156,4,15,3
2008,MA0090700,38,15,0,0,8,0,25,14,263,5,1,0,96,3,152,1,15,1
2009,MA0090700,28,11,0,0,3,0,19,10,289,4,2,1,98,2,166,2,25,0
2010,MA0090700,31,5,0,0,6,1,21,4,330,13,1,0,151,2,168,9,11,2
2011,MA0090700,23,4,0,0,3,0,15,4,289,25,0,0,94,6,180,19,15,0
2012,MA0090700,19,8,0,0,4,0,12,8,291,11,1,0,114,6,168,4,9,1
2013,MA0090700,24,9,0,0,2,0,18,9,241,9,3,1,56,3,172,6,13,0
2014,MA0090700,16,7,0,0,0,0,10,7,174,13,0,0,37,4,124,7,13,2
2015,MA0090700,8,3,0,0,0,0,5,3,152,11,0,0,47,4,102,7,3,0
2016,MA0090700,14,4,0,0,0,0,9,2,177,12,0,0,58,5,114,6,5,1
2017,MA0090700,16,3,0,0,3,1,5,2,210,12,0,0,85,6,116,6,9,0
