Label,Value,Year
Reported,844,1985
Cleared,561,1985
Reported,834,1986
Cleared,526,1986
Reported,842,1987
Cleared,482,1987
Reported,912,1988
Cleared,583,1988
Reported,846,1989
Cleared,551,1989
Reported,1064,1990
Cleared,649,1990
Reported,1234,1991
Cleared,723,1991
Reported,1193,1992
Cleared,737,1992
Reported,1034,1993
Cleared,623,1993
Reported,1050,1994
Cleared,640,1994
Reported,1109,1995
Cleared,660,1995
Reported,1016,1996
Cleared,674,1996
Reported,1097,1997
Cleared,798,1997
Reported,955,1998
Cleared,666,1998
Reported,770,1999
Cleared,538,1999
Reported,805,2000
Cleared,573,2000
Reported,840,2001
Cleared,500,2001
Reported,895,2002
Cleared,513,2002
Reported,956,2003
Cleared,535,2003
Reported,987,2004
Cleared,567,2004
Reported,875,2005
Cleared,492,2005
Reported,833,2006
Cleared,509,2006
Reported,815,2007
Cleared,464,2007
Reported,835,2008
Cleared,434,2008
Reported,904,2009
Cleared,465,2009
Reported,653,2010
Cleared,315,2010
Reported,651,2011
Cleared,355,2011
Reported,850,2012
Cleared,455,2012
Reported,787,2013
Cleared,395,2013
Reported,892,2014
Cleared,459,2014
Reported,1060,2015
Cleared,656,2015
Reported,745,2016
Cleared,517,2016
Reported,542,2017
Cleared,288,2017
Reported,633,2018
Cleared,377,2018
