Label,Value,Year
Reported,634,1985
Cleared,189,1985
Reported,546,1986
Cleared,90,1986
Reported,537,1987
Cleared,111,1987
Reported,506,1988
Cleared,54,1988
Reported,384,1989
Cleared,75,1989
Reported,400,1990
Cleared,80,1990
Reported,433,1991
Cleared,80,1991
Reported,359,1992
Cleared,68,1992
Reported,341,1993
Cleared,30,1993
Reported,405,1994
Cleared,79,1994
Reported,396,1995
Cleared,66,1995
Reported,372,1996
Cleared,62,1996
Reported,326,1997
Cleared,87,1997
Reported,336,1998
Cleared,75,1998
Reported,230,1999
Cleared,20,1999
Reported,207,2000
Cleared,20,2000
Reported,264,2001
Cleared,49,2001
Reported,274,2002
Cleared,62,2002
Reported,201,2003
Cleared,21,2003
Reported,276,2004
Cleared,26,2004
Reported,315,2005
Cleared,33,2005
Reported,324,2006
Cleared,23,2006
Reported,275,2007
Cleared,16,2007
Reported,252,2008
Cleared,20,2008
Reported,220,2009
Cleared,47,2009
Reported,184,2010
Cleared,31,2010
Reported,200,2011
Cleared,30,2011
Reported,224,2012
Cleared,28,2012
Reported,119,2013
Cleared,11,2013
Reported,30,2014
Cleared,1,2014
Reported,42,2015
Cleared,16,2015
Reported,62,2016
Cleared,8,2016
Reported,14,2017
Cleared,2,2017
Reported,11,2018
Cleared,4,2018
