Label,Value,Year
Reported,5155,1985
Cleared,858,1985
Reported,4720,1986
Cleared,812,1986
Reported,5036,1987
Cleared,910,1987
Reported,5363,1988
Cleared,1087,1988
Reported,4334,1989
Cleared,933,1989
Reported,4778,1990
Cleared,989,1990
Reported,5105,1991
Cleared,1149,1991
Reported,4804,1992
Cleared,929,1992
Reported,4529,1993
Cleared,1012,1993
Reported,4503,1994
Cleared,817,1994
Reported,4671,1995
Cleared,1015,1995
Reported,4581,1996
Cleared,1132,1996
Reported,3990,1997
Cleared,1048,1997
Reported,4049,1998
Cleared,928,1998
Reported,3704,1999
Cleared,1103,1999
Reported,3623,2000
Cleared,741,2000
Reported,3539,2001
Cleared,626,2001
Reported,3874,2002
Cleared,680,2002
Reported,4094,2003
Cleared,771,2003
Reported,3741,2004
Cleared,808,2004
Reported,3570,2005
Cleared,755,2005
Reported,3804,2006
Cleared,821,2006
Reported,3550,2007
Cleared,846,2007
Reported,3603,2008
Cleared,723,2008
Reported,3011,2009
Cleared,759,2009
Reported,3323,2010
Cleared,490,2010
Reported,3061,2011
Cleared,590,2011
Reported,2600,2012
Cleared,1003,2012
Reported,2586,2013
Cleared,415,2013
Reported,2299,2014
Cleared,539,2014
Reported,1812,2015
Cleared,640,2015
Reported,1855,2016
Cleared,635,2016
Reported,1386,2017
Cleared,335,2017
Reported,1354,2018
Cleared,339,2018
