Label,Value,Year
Reported,12,1985
Cleared,11,1985
Reported,9,1986
Cleared,4,1986
Reported,17,1987
Cleared,14,1987
Reported,16,1988
Cleared,14,1988
Reported,21,1989
Cleared,20,1989
Reported,23,1990
Cleared,18,1990
Reported,22,1991
Cleared,20,1991
Reported,21,1992
Cleared,16,1992
Reported,29,1993
Cleared,21,1993
Reported,34,1994
Cleared,26,1994
Reported,20,1995
Cleared,19,1995
Reported,12,1996
Cleared,15,1996
Reported,22,1997
Cleared,13,1997
Reported,12,1998
Cleared,9,1998
Reported,12,1999
Cleared,13,1999
Reported,11,2000
Cleared,7,2000
Reported,18,2001
Cleared,14,2001
Reported,32,2002
Cleared,26,2002
Reported,21,2003
Cleared,27,2003
Reported,18,2004
Cleared,16,2004
Reported,19,2005
Cleared,20,2005
Reported,15,2006
Cleared,14,2006
Reported,19,2007
Cleared,16,2007
Reported,21,2008
Cleared,16,2008
Reported,13,2009
Cleared,14,2009
Reported,16,2010
Cleared,5,2010
Reported,15,2011
Cleared,17,2011
Reported,14,2012
Cleared,11,2012
Reported,8,2013
Cleared,5,2013
Reported,17,2014
Cleared,15,2014
Reported,28,2015
Cleared,28,2015
Reported,14,2016
Cleared,10,2016
Reported,20,2017
Cleared,17,2017
Reported,20,2018
Cleared,19,2018
