Label,Value,Year
Reported,16177,1985
Cleared,2731,1985
Reported,17282,1986
Cleared,2917,1986
Reported,18095,1987
Cleared,3272,1987
Reported,19472,1988
Cleared,3226,1988
Reported,17778,1989
Cleared,3424,1989
Reported,19788,1990
Cleared,3668,1990
Reported,22932,1991
Cleared,4023,1991
Reported,22190,1992
Cleared,3970,1992
Reported,21405,1993
Cleared,4260,1993
Reported,23178,1994
Cleared,4320,1994
Reported,23682,1995
Cleared,4065,1995
Reported,23881,1996
Cleared,4249,1996
Reported,22338,1997
Cleared,4459,1997
Reported,21222,1998
Cleared,3949,1998
Reported,18373,1999
Cleared,3593,1999
Reported,18320,2000
Cleared,3434,2000
Reported,18226,2001
Cleared,2922,2001
Reported,18897,2002
Cleared,2863,2002
Reported,17875,2003
Cleared,2605,2003
Reported,15503,2004
Cleared,2561,2004
Reported,15869,2005
Cleared,2585,2005
Reported,16860,2006
Cleared,2808,2006
Reported,17534,2007
Cleared,2908,2007
Reported,19027,2008
Cleared,2988,2008
Reported,18356,2009
Cleared,3354,2009
Reported,15261,2010
Cleared,2734,2010
Reported,13505,2011
Cleared,2409,2011
Reported,13083,2012
Cleared,2800,2012
Reported,12104,2013
Cleared,2198,2013
Reported,12949,2014
Cleared,2523,2014
Reported,13217,2015
Cleared,3155,2015
Reported,12374,2016
Cleared,3051,2016
Reported,11449,2017
Cleared,1839,2017
Reported,11033,2018
Cleared,2024,2018
