Label,Value,Year
Reported,23232,1985
Cleared,3972,1985
Reported,24210,1986
Cleared,4228,1986
Reported,25676,1987
Cleared,4825,1987
Reported,27998,1988
Cleared,5086,1988
Reported,25041,1989
Cleared,5090,1989
Reported,27526,1990
Cleared,5369,1990
Reported,31324,1991
Cleared,5874,1991
Reported,30048,1992
Cleared,5519,1992
Reported,29031,1993
Cleared,5810,1993
Reported,30979,1994
Cleared,5671,1994
Reported,31646,1995
Cleared,5625,1995
Reported,31672,1996
Cleared,5974,1996
Reported,29438,1997
Cleared,6268,1997
Reported,27936,1998
Cleared,5323,1998
Reported,24593,1999
Cleared,5191,1999
Reported,24674,2000
Cleared,4685,2000
Reported,24915,2001
Cleared,3998,2001
Reported,26493,2002
Cleared,3950,2002
Reported,25458,2003
Cleared,3749,2003
Reported,21806,2004
Cleared,3692,2004
Reported,21925,2005
Cleared,3618,2005
Reported,23157,2006
Cleared,4008,2006
Reported,23567,2007
Cleared,4032,2007
Reported,24888,2008
Cleared,4058,2008
Reported,23099,2009
Cleared,4391,2009
Reported,20039,2010
Cleared,3412,2010
Reported,17752,2011
Cleared,3185,2011
Reported,16695,2012
Cleared,4015,2012
Reported,15551,2013
Cleared,2693,2013
Reported,15953,2014
Cleared,3129,2014
Reported,15761,2015
Cleared,3929,2015
Reported,15066,2016
Cleared,3879,2016
Reported,13629,2017
Cleared,2302,2017
Reported,13143,2018
Cleared,2496,2018
