Label,Value,Year
Legacy Rape Reported,114,1985
Legacy Rape Cleared,58,1985
Legacy Rape Reported,139,1986
Legacy Rape Cleared,79,1986
Legacy Rape Reported,165,1987
Legacy Rape Cleared,96,1987
Legacy Rape Reported,174,1988
Legacy Rape Cleared,113,1988
Legacy Rape Reported,194,1989
Legacy Rape Cleared,106,1989
Legacy Rape Reported,195,1990
Legacy Rape Cleared,148,1990
Legacy Rape Reported,210,1991
Legacy Rape Cleared,133,1991
Legacy Rape Reported,184,1992
Legacy Rape Cleared,125,1992
Legacy Rape Reported,205,1993
Legacy Rape Cleared,117,1993
Legacy Rape Reported,193,1994
Legacy Rape Cleared,129,1994
Legacy Rape Reported,215,1995
Legacy Rape Cleared,154,1995
Legacy Rape Reported,154,1996
Legacy Rape Cleared,113,1996
Legacy Rape Reported,173,1997
Legacy Rape Cleared,121,1997
Legacy Rape Reported,159,1998
Legacy Rape Cleared,113,1998
Legacy Rape Reported,122,1999
Legacy Rape Cleared,81,1999
Legacy Rape Reported,168,2000
Legacy Rape Cleared,73,2000
Legacy Rape Reported,136,2001
Legacy Rape Cleared,80,2001
Legacy Rape Reported,138,2002
Legacy Rape Cleared,74,2002
Legacy Rape Reported,134,2003
Legacy Rape Cleared,77,2003
Legacy Rape Reported,140,2004
Legacy Rape Cleared,77,2004
Legacy Rape Reported,150,2005
Legacy Rape Cleared,64,2005
Legacy Rape Reported,141,2006
Legacy Rape Cleared,82,2006
Legacy Rape Reported,129,2007
Legacy Rape Cleared,71,2007
Legacy Rape Reported,131,2008
Legacy Rape Cleared,64,2008
Legacy Rape Reported,124,2009
Legacy Rape Cleared,78,2009
Legacy Rape Reported,119,2010
Legacy Rape Cleared,58,2010
Legacy Rape Reported,112,2011
Legacy Rape Cleared,60,2011
Legacy Rape Reported,102,2012
Legacy Rape Cleared,75,2012
Legacy Rape Reported,134,2013
Legacy Rape Cleared,75,2013
Legacy Rape Reported,119,2014
Legacy Rape Cleared,89,2014
Revised Rape Reported,270,2015
Revised Rape Cleared,230,2015
Revised Rape Reported,332,2016
Revised Rape Cleared,266,2016
Revised Rape Reported,249,2017
Revised Rape Cleared,130,2017
Revised Rape Reported,299,2018
Revised Rape Cleared,173,2018
