Label,Value,Year
Reported,675,1985
Cleared,207,1985
Reported,648,1986
Cleared,223,1986
Reported,683,1987
Cleared,200,1987
Reported,782,1988
Cleared,264,1988
Reported,835,1989
Cleared,272,1989
Reported,807,1990
Cleared,224,1990
Reported,979,1991
Cleared,292,1991
Reported,930,1992
Cleared,301,1992
Reported,842,1993
Cleared,260,1993
Reported,869,1994
Cleared,287,1994
Reported,1015,1995
Cleared,326,1995
Reported,983,1996
Cleared,329,1996
Reported,841,1997
Cleared,333,1997
Reported,712,1998
Cleared,281,1998
Reported,654,1999
Cleared,258,1999
Reported,708,2000
Cleared,232,2000
Reported,818,2001
Cleared,214,2001
Reported,877,2002
Cleared,217,2002
Reported,1004,2003
Cleared,284,2003
Reported,789,2004
Cleared,249,2004
Reported,1035,2005
Cleared,328,2005
Reported,1166,2006
Cleared,415,2006
Reported,1096,2007
Cleared,362,2007
Reported,1100,2008
Cleared,333,2008
Reported,992,2009
Cleared,334,2009
Reported,911,2010
Cleared,223,2010
Reported,840,2011
Cleared,265,2011
Reported,829,2012
Cleared,381,2012
Reported,758,2013
Cleared,218,2013
Reported,620,2014
Cleared,193,2014
Reported,606,2015
Cleared,239,2015
Reported,659,2016
Cleared,321,2016
Reported,616,2017
Cleared,238,2017
Reported,520,2018
Cleared,202,2018
