year,ori,violent_crime_actual,violent_crime_cleared,homicide_actual,homicide_cleared,robbery_actual,robbery_cleared,aggravated_assault_actual,aggravated_assault_cleared,property_crime_actual,property_crime_cleared,arson_actual,arson_cleared,burglary_actual,burglary_cleared,larceny_actual,larceny_cleared,motor_vehicle_theft_actual,motor_vehicle_theft_cleared
1985,MD0160400,1645,837,12,11,675,207,844,561,23232,3972,634,189,5155,858,16177,2731,1900,383
1986,MD0160400,1630,832,9,4,648,223,834,526,24210,4228,546,90,4720,812,17282,2917,2208,499
1987,MD0160400,1707,792,17,14,683,200,842,482,25676,4825,537,111,5036,910,18095,3272,2545,643
1988,MD0160400,1884,974,16,14,782,264,912,583,27998,5086,506,54,5363,1087,19472,3226,3163,773
1989,MD0160400,1896,949,21,20,835,272,846,551,25041,5090,384,75,4334,933,17778,3424,2929,733
1990,MD0160400,2089,1039,23,18,807,224,1064,649,27526,5369,400,80,4778,989,19788,3668,2960,712
1991,MD0160400,2445,1168,22,20,979,292,1234,723,31324,5874,433,80,5105,1149,22932,4023,3287,702
1992,MD0160400,2328,1179,21,16,930,301,1193,737,30048,5519,359,68,4804,929,22190,3970,3054,620
1993,MD0160400,2110,1021,29,21,842,260,1034,623,29031,5810,341,30,4529,1012,21405,4260,3097,538
1994,MD0160400,2146,1082,34,26,869,287,1050,640,30979,5671,405,79,4503,817,23178,4320,3298,534
1995,MD0160400,2359,1159,20,19,1015,326,1109,660,31646,5625,396,66,4671,1015,23682,4065,3293,545
1996,MD0160400,2165,1131,12,15,983,329,1016,674,31672,5974,372,62,4581,1132,23881,4249,3210,593
1997,MD0160400,2133,1265,22,13,841,333,1097,798,29438,6268,326,87,3990,1048,22338,4459,3110,761
1998,MD0160400,1838,1069,12,9,712,281,955,666,27936,5323,336,75,4049,928,21222,3949,2665,446
1999,MD0160400,1558,890,12,13,654,258,770,538,24593,5191,230,20,3704,1103,18373,3593,2516,495
2000,MD0160400,1692,885,11,7,708,232,805,573,24674,4685,207,20,3623,741,18320,3434,2731,510
2001,MD0160400,1812,808,18,14,818,214,840,500,24915,3998,264,49,3539,626,18226,2922,3150,450
2002,MD0160400,1942,830,32,26,877,217,895,513,26493,3950,274,62,3874,680,18897,2863,3722,407
2003,MD0160400,2115,923,21,27,1004,284,956,535,25458,3749,201,21,4094,771,17875,2605,3489,373
2004,MD0160400,1934,909,18,16,789,249,987,567,21806,3692,276,26,3741,808,15503,2561,2562,323
2005,MD0160400,2079,904,19,20,1035,328,875,492,21925,3618,315,33,3570,755,15869,2585,2486,278
2006,MD0160400,2155,1020,15,14,1166,415,833,509,23157,4008,324,23,3804,821,16860,2808,2493,379
2007,MD0160400,2059,913,19,16,1096,362,815,464,23567,4032,275,16,3550,846,17534,2908,2483,278
2008,MD0160400,2087,847,21,16,1100,333,835,434,24888,4058,252,20,3603,723,19027,2988,2258,347
2009,MD0160400,2033,891,13,14,992,334,904,465,23099,4391,220,47,3011,759,18356,3354,1732,278
2010,MD0160400,1699,601,16,5,911,223,653,315,20039,3412,184,31,3323,490,15261,2734,1455,188
2011,MD0160400,1618,697,15,17,840,265,651,355,17752,3185,200,30,3061,590,13505,2409,1186,186
2012,MD0160400,1795,922,14,11,829,381,850,455,16695,4015,224,28,2600,1003,13083,2800,1012,212
2013,MD0160400,1687,693,8,5,758,218,787,395,15551,2693,119,11,2586,415,12104,2198,861,80
2014,MD0160400,1648,756,17,15,620,193,892,459,15953,3129,30,1,2299,539,12949,2523,705,67
2015,MD0160400,1964,1153,28,28,606,239,1060,656,15761,3929,42,16,1812,640,13217,3155,732,134
2016,MD0160400,1750,1114,14,10,659,321,745,517,15066,3879,62,8,1855,635,12374,3051,837,193
2017,MD0160400,1599,760,20,17,616,238,542,288,13629,2302,14,2,1386,335,11449,1839,794,128
2018,MD0160400,1679,881,20,19,520,202,633,377,13143,2496,11,4,1354,339,11033,2024,756,133
