Series,Year,Rate
1985,Male Officers,68
1985,Female Officers,2
1985,Male Civilians,10
1985,Female Civilians,15
1986,Male Officers,69
1986,Female Officers,2
1986,Male Civilians,11
1986,Female Civilians,15
1987,Male Officers,69
1987,Female Officers,2
1987,Male Civilians,10
1987,Female Civilians,17
1988,Male Officers,69
1988,Female Officers,2
1988,Male Civilians,10
1988,Female Civilians,16
1989,Male Officers,69
1989,Female Officers,2
1989,Male Civilians,10
1989,Female Civilians,16
1990,Male Officers,73
1990,Female Officers,2
1990,Male Civilians,18
1990,Female Civilians,8
1991,Male Officers,73
1991,Female Officers,3
1991,Male Civilians,18
1991,Female Civilians,8
1992,Male Officers,74
1992,Female Officers,4
1992,Male Civilians,7
1992,Female Civilians,19
1993,Male Officers,75
1993,Female Officers,4
1993,Male Civilians,8
1993,Female Civilians,21
1994,Male Officers,73
1994,Female Officers,4
1994,Male Civilians,5
1994,Female Civilians,21
1995,Male Officers,79
1995,Female Officers,4
1995,Male Civilians,5
1995,Female Civilians,23
1996,Male Officers,76
1996,Female Officers,5
1996,Male Civilians,5
1996,Female Civilians,25
1997,Male Officers,85
1997,Female Officers,7
1997,Male Civilians,4
1997,Female Civilians,27
1998,Male Officers,93
1998,Female Officers,8
1998,Male Civilians,8
1998,Female Civilians,27
1999,Male Officers,93
1999,Female Officers,8
1999,Male Civilians,9
1999,Female Civilians,30
2000,Male Officers,94
2000,Female Officers,9
2000,Male Civilians,8
2000,Female Civilians,38
2001,Male Officers,93
2001,Female Officers,10
2001,Male Civilians,9
2001,Female Civilians,32
2002,Male Officers,92
2002,Female Officers,9
2002,Male Civilians,9
2002,Female Civilians,33
2003,Male Officers,90
2003,Female Officers,11
2003,Male Civilians,7
2003,Female Civilians,28
2004,Male Officers,85
2004,Female Officers,10
2004,Male Civilians,26
2004,Female Civilians,7
2005,Male Officers,78
2005,Female Officers,10
2005,Male Civilians,4
2005,Female Civilians,22
2006,Male Officers,78
2006,Female Officers,10
2006,Male Civilians,7
2006,Female Civilians,21
2007,Male Officers,76
2007,Female Officers,11
2007,Male Civilians,8
2007,Female Civilians,21
2008,Male Officers,76
2008,Female Officers,12
2008,Male Civilians,9
2008,Female Civilians,21
2009,Male Officers,93
2009,Female Officers,8
2009,Male Civilians,8
2009,Female Civilians,27
2010,Male Officers,73
2010,Female Officers,10
2010,Male Civilians,3
2010,Female Civilians,10
2011,Male Officers,72
2011,Female Officers,10
2011,Male Civilians,3
2011,Female Civilians,9
2012,Male Officers,72
2012,Female Officers,10
2012,Male Civilians,3
2012,Female Civilians,10
2013,Male Officers,71
2013,Female Officers,13
2013,Male Civilians,3
2013,Female Civilians,11
2014,Male Officers,72
2014,Female Officers,14
2014,Male Civilians,3
2014,Female Civilians,12
2015,Male Officers,71
2015,Female Officers,13
2015,Male Civilians,2
2015,Female Civilians,13
2016,Male Officers,75
2016,Female Officers,12
2016,Male Civilians,2
2016,Female Civilians,13
2017,Male Officers,74
2017,Female Officers,11
2017,Male Civilians,2
2017,Female Civilians,11
2018,Male Officers,75
2018,Female Officers,11
2018,Male Civilians,2
2018,Female Civilians,13
