Series,Year,Rate
1985,Male Officers,22
1985,Female Officers,0
1985,Male Civilians,0
1985,Female Civilians,7
1986,Male Officers,23
1986,Female Officers,0
1986,Male Civilians,0
1986,Female Civilians,9
1987,Male Officers,26
1987,Female Officers,1
1987,Male Civilians,0
1987,Female Civilians,9
1988,Male Officers,29
1988,Female Officers,1
1988,Male Civilians,0
1988,Female Civilians,12
1989,Male Officers,30
1989,Female Officers,1
1989,Male Civilians,1
1989,Female Civilians,13
1990,Male Officers,32
1990,Female Officers,2
1990,Male Civilians,0
1990,Female Civilians,16
1991,Male Officers,32
1991,Female Officers,3
1991,Male Civilians,1
1991,Female Civilians,15
1992,Male Officers,31
1992,Female Officers,3
1992,Male Civilians,0
1992,Female Civilians,16
1993,Male Officers,30
1993,Female Officers,4
1993,Male Civilians,0
1993,Female Civilians,15
1994,Male Officers,31
1994,Female Officers,3
1994,Male Civilians,0
1994,Female Civilians,15
1995,Male Officers,34
1995,Female Officers,3
1995,Male Civilians,1
1995,Female Civilians,16
1996,Male Officers,33
1996,Female Officers,4
1996,Male Civilians,0
1996,Female Civilians,16
1997,Male Officers,35
1997,Female Officers,5
1997,Male Civilians,1
1997,Female Civilians,16
1998,Male Officers,35
1998,Female Officers,6
1998,Male Civilians,1
1998,Female Civilians,17
1999,Male Officers,34
1999,Female Officers,6
1999,Male Civilians,2
1999,Female Civilians,17
2000,Male Officers,38
2000,Female Officers,6
2000,Male Civilians,2
2000,Female Civilians,16
2001,Male Officers,40
2001,Female Officers,7
2001,Male Civilians,2
2001,Female Civilians,16
2002,Male Officers,40
2002,Female Officers,6
2002,Male Civilians,2
2002,Female Civilians,18
2003,Male Officers,41
2003,Female Officers,6
2003,Male Civilians,1
2003,Female Civilians,19
2004,Male Officers,41
2004,Female Officers,6
2004,Male Civilians,1
2004,Female Civilians,20
2005,Male Officers,41
2005,Female Officers,6
2005,Male Civilians,1
2005,Female Civilians,21
2006,Male Officers,44
2006,Female Officers,6
2006,Male Civilians,1
2006,Female Civilians,19
2007,Male Officers,44
2007,Female Officers,6
2007,Male Civilians,0
2007,Female Civilians,9
2008,Male Officers,46
2008,Female Officers,4
2008,Male Civilians,7
2008,Female Civilians,7
2009,Male Officers,44
2009,Female Officers,5
2009,Male Civilians,0
2009,Female Civilians,10
2010,Male Officers,43
2010,Female Officers,5
2010,Male Civilians,0
2010,Female Civilians,8
2011,Male Officers,43
2011,Female Officers,5
2011,Male Civilians,0
2011,Female Civilians,10
2012,Male Officers,40
2012,Female Officers,5
2012,Male Civilians,0
2012,Female Civilians,9
2013,Male Officers,38
2013,Female Officers,5
2013,Male Civilians,0
2013,Female Civilians,9
2014,Male Officers,45
2014,Female Officers,6
2014,Male Civilians,0
2014,Female Civilians,8
2015,Male Officers,46
2015,Female Officers,5
2015,Male Civilians,0
2015,Female Civilians,8
2016,Male Officers,45
2016,Female Officers,7
2016,Male Civilians,0
2016,Female Civilians,8
2017,Male Officers,45
2017,Female Officers,6
2017,Male Civilians,0
2017,Female Civilians,8
2018,Male Officers,44
2018,Female Officers,9
2018,Male Civilians,0
2018,Female Civilians,8
