Label,Value,Year
Reported,230,1985
Cleared,93,1985
Reported,320,1986
Cleared,151,1986
Reported,263,1987
Cleared,121,1987
Reported,313,1988
Cleared,130,1988
Reported,307,1989
Cleared,111,1989
Reported,348,1990
Cleared,106,1990
Reported,351,1991
Cleared,146,1991
Reported,368,1992
Cleared,187,1992
Reported,250,1993
Cleared,110,1993
Reported,303,1994
Cleared,135,1994
Reported,328,1995
Cleared,120,1995
Reported,375,1996
Cleared,159,1996
Reported,368,1997
Cleared,147,1997
Reported,391,1998
Cleared,170,1998
Reported,450,1999
Cleared,197,1999
Reported,486,2000
Cleared,234,2000
Reported,468,2001
Cleared,238,2001
Reported,511,2002
Cleared,232,2002
Reported,409,2003
Cleared,206,2003
Reported,395,2004
Cleared,215,2004
Reported,437,2005
Cleared,225,2005
Reported,530,2006
Cleared,269,2006
Reported,454,2007
Cleared,292,2007
Reported,507,2008
Cleared,280,2008
Reported,525,2009
Cleared,322,2009
Reported,648,2010
Cleared,429,2010
Reported,727,2011
Cleared,465,2011
Reported,604,2012
Cleared,385,2012
Reported,666,2013
Cleared,441,2013
Reported,638,2014
Cleared,548,2014
Reported,642,2015
Cleared,481,2015
Reported,619,2016
Cleared,393,2016
Reported,543,2017
Cleared,346,2017
Reported,682,2018
Cleared,359,2018
